variant,epoch,bev_0_7,3d_0_7,bev_0_5,3d_0_5,bev_0_3,3d_0_3
MoreOpenGate,0,63.16,17.45,88.11,74.79,89.01,88.26
MoreOpenGate,1,49.64,10.51,87.52,64.23,89.11,88.33
MoreOpenGate,2,61.12,18.02,88.38,68.06,89.14,88.67
MoreOpenGate,3,61.99,10.17,80.49,65.53,89.31,88.55
MoreOpenGate,4,61.82,19.71,80.54,68.40,89.13,88.56
MoreOpenGate,5,55.12,19.60,80.47,65.15,81.07,80.48
MoreOpenGate,6,60.91,17.41,80.41,67.69,89.13,88.61
MoreOpenGate,7,61.88,16.95,87.49,66.13,88.99,87.99
MoreOpenGate,8,62.29,19.04,80.46,68.06,89.28,80.63
MoreOpenGate,9,55.71,11.39,80.00,64.30,88.77,79.99
MoreOpenGate,10,61.58,19.05,80.41,68.14,89.26,88.75
StrongerControl,0,62.88,22.24,80.30,67.52,88.87,88.34
StrongerControl,1,51.68,9.78,87.70,63.89,89.14,88.00
StrongerControl,2,62.46,22.30,80.54,68.35,89.18,88.67
StrongerControl,3,61.09,15.82,80.60,64.94,89.25,80.56
StrongerControl,4,62.50,22.21,80.62,68.30,89.18,88.52
StrongerControl,5,53.73,11.29,80.29,62.67,88.98,80.33
StrongerControl,6,62.55,22.75,80.55,68.06,89.21,80.61
StrongerControl,7,60.65,20.90,87.38,65.78,88.83,87.52
StrongerControl,8,61.99,22.53,80.43,68.01,89.24,80.52
StrongerControl,9,63.21,21.83,80.26,67.65,88.44,80.18
StrongerControl,10,62.77,21.93,80.58,68.23,89.17,80.57
