name,variant,epoch,gpu,conf,condition,bev_0_7,bev_0_5,bev_0_3,3d_0_7,3d_0_5,3d_0_3,mean_all6,mean_3d,complete_results
MoreOpenGate_model0,MoreOpenGate,0,0,0.3,fog,73.13885494599973,90.35064711642313,90.7234293054054,40.92429233286218,78.86493713719472,90.33611165266836,77.38971208175893,70.04178037424175,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_0_total/0.3/complete_results.txt
MoreOpenGate_model0,MoreOpenGate,0,0,0.3,heavysnow,51.93145221724912,69.94622817348971,71.3197356273207,23.281186086258092,59.82654516038396,71.12827121792756,57.905569747104856,51.41200082152321,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_0_total/0.3/complete_results.txt
MoreOpenGate_model0,MoreOpenGate,0,0,0.3,lightsnow,72.73693008831789,89.00922064922888,89.31528789964808,25.09881422924901,77.68317252250952,89.18061867112517,73.83734067667976,63.987535140961235,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_0_total/0.3/complete_results.txt
MoreOpenGate_model0,MoreOpenGate,0,0,0.3,normal,59.453157218083874,86.92976278102942,88.32475867088404,13.339014979318176,65.71174501613584,87.32519631525139,66.84727249678379,55.45865210356846,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_0_total/0.3/complete_results.txt
MoreOpenGate_model0,MoreOpenGate,0,0,0.3,overcast,77.45243613011242,90.28339953446932,90.39781702787994,28.12786907981416,80.16891756314041,90.3376808043544,76.12802002329511,66.21148914910299,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_0_total/0.3/complete_results.txt
MoreOpenGate_model0,MoreOpenGate,0,0,0.3,rain,74.18890798612166,89.15176624079328,89.41525851151599,22.209532041343664,74.8774602579848,88.95081734232072,73.13229039668002,62.01260321388306,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_0_total/0.3/complete_results.txt
MoreOpenGate_model0,MoreOpenGate,0,0,0.3,sleet,40.9878208615933,70.22071143190985,80.0958231518295,13.984501682247313,57.07028469755579,79.70688810348673,57.01100498810374,50.25389149442994,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_0_total/0.3/complete_results.txt
StrongerControl_model2,StrongerControl,2,1,0.3,fog,76.76105617847149,90.8345134013372,90.8345134013372,45.604724870221034,79.98722496223762,90.75648647086243,79.12975321407784,72.11614543444036,/home/hongsheng/dec_con_asf/logs/exp_260817_000503_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_2_total/0.3/complete_results.txt
StrongerControl_model2,StrongerControl,2,1,0.3,heavysnow,52.98378328294076,69.84808349681329,71.2955832517072,23.888379953852375,60.718948532292394,71.01722154205486,58.29200000994348,51.87485000939987,/home/hongsheng/dec_con_asf/logs/exp_260817_000503_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_2_total/0.3/complete_results.txt
StrongerControl_model2,StrongerControl,2,1,0.3,lightsnow,65.00145428491116,88.94732407926284,89.44706606683229,29.950748080374595,77.68126707247968,89.34781729111484,73.39594614582923,65.6599441479897,/home/hongsheng/dec_con_asf/logs/exp_260817_000503_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_2_total/0.3/complete_results.txt
