id,weather,num_gt,asf_predictions,objdec_predictions,asf_mean_best_iou3d,objdec_mean_best_iou3d,delta
seq20_rdr00628,normal,1,1,1,0.5721034453945828,0.7187342481150808,0.146630802720498
seq9_rdr00347,normal,3,3,3,0.5814233220729889,0.519532326137868,-0.06189099593512082
seq7_rdr00272,normal,2,1,1,0.3220158600158259,0.34105361743731233,0.019037757421486445
seq13_rdr00146,overcast,2,2,2,0.6906266330629166,0.7248250339040856,0.034198400841168985
seq22_rdr00484,overcast,4,4,4,0.6689909132575729,0.6736834300938671,0.004692516836294236
seq22_rdr00218,overcast,2,1,2,0.2324995036443871,0.4820302265464207,0.2495307229020336
seq45_rdr00613,fog,1,1,1,0.8614793732538147,0.8384700051556121,-0.023009368098202643
seq39_rdr00582,fog,1,1,1,0.7652752949544033,0.6762610364426426,-0.0890142585117607
seq39_rdr00491,fog,1,1,1,0.7410861887902047,0.6592879120316522,-0.08179827675855256
seq25_rdr00154,rain,4,3,4,0.6124395766277643,0.7839558093508694,0.17151623272310512
seq24_rdr00286,rain,3,3,3,0.7607741446694377,0.7132871131285085,-0.04748703154092926
seq25_rdr00475,rain,3,3,3,0.4922146711352409,0.5037373753984326,0.01152270426319163
seq43_rdr00169,lightsnow,1,3,4,0.354362973624193,0.22344305561354755,-0.13091991801064545
seq42_rdr00264,lightsnow,1,1,1,0.7925231347339552,0.8190921487152067,0.026569013981251555
seq58_rdr00258,heavysnow,1,2,2,0.7671311585821958,0.7136173335200541,-0.05351382506214175
seq55_rdr00385,heavysnow,1,1,1,0.7332656929872228,0.780033400878931,0.046767707891708254
seq57_rdr00279,heavysnow,1,1,1,0.09520406357281408,0.728289467141164,0.63308540356835
seq51_rdr00237,sleet,1,1,1,0.7338208305615662,0.6496494637457573,-0.08417136681580895
seq52_rdr00550,sleet,1,1,1,0.5965570566089335,0.6574556477580947,0.060898591149161185
seq50_rdr00456,sleet,2,2,2,0.7606707891659197,0.7322986479521393,-0.0283721412137804
