weather,feature,modality,frames,sequences,centroid_norm,centroid_L2_from_normal,centroid_cos_from_normal,centroid_cos_distance_from_normal,frame_mean_rms_spread,mean_within_frame_scatter
normal,raw,Camera,4309,17,14.037821536947458,0.0,1.0,0.0,2.084761765979642,4.567325592041016
normal,raw,LiDAR,4309,17,13.295327958603304,0.0,0.9999999999999999,1.1102230246251565e-16,2.8702406480055624,47.07373046875
normal,raw,4D Radar,4309,17,14.295070676505924,0.0,1.0,0.0,2.355795984329044,27.135547637939453
normal,common,Camera,4309,17,25.66611766213645,0.0,1.0,0.0,0.06092745782357793,0.0057652899995446205
normal,common,LiDAR,4309,17,21.547252127832145,0.0,0.9999999999999999,1.1102230246251565e-16,0.8071427244940189,30.706335067749023
normal,common,4D Radar,4309,17,24.11746084170808,0.0,0.9999999999999998,2.220446049250313e-16,1.508330713439258,12.765242576599121
normal,unique,Camera,4309,17,24.484464535163273,0.0,1.0000000000000002,0.0,0.1262643009144286,0.01595497876405716
normal,unique,LiDAR,4309,17,16.719811132643507,0.0,1.0,0.0,2.6523065892944007,58.87846755981445
normal,unique,4D Radar,4309,17,20.031233900466702,0.0,1.0,0.0,2.0066887006022496,23.684104919433594
overcast,raw,Camera,383,2,14.189329315683999,1.4417989292590574,0.9948394555587953,0.0051605444412047285,0.9159516328400072,3.8948190212249756
overcast,raw,LiDAR,383,2,13.504900673525022,1.5152325025794597,0.9937288145865557,0.006271185413444291,1.9881197227500935,45.517635345458984
overcast,raw,4D Radar,383,2,14.376974473088236,0.48929761990147946,0.9994338651215544,0.00056613487844559,1.5871433369628531,27.647377014160156
overcast,common,Camera,383,2,25.66495007264097,0.03631496608753671,0.9999990000195531,9.999804468918683e-07,0.030312435194461168,0.004160422831773758
overcast,common,LiDAR,383,2,21.7376171612511,0.28728788069781735,0.999950579769049,4.9420230951002786e-05,0.5529477818693171,25.022090911865234
overcast,common,4D Radar,383,2,24.113671812336776,0.23122654276396107,0.9999540448895209,4.595511047911227e-05,0.9580487242363355,13.77279281616211
overcast,unique,Camera,383,2,24.478389316511358,0.09240330010196515,0.9999929076501071,7.09234989293428e-06,0.05044102701285572,0.011763240210711956
