weather,feature,frames,frames_without_foreground,sequences,foreground_patches,cosine_CL,cosine_CR,cosine_LR,frame_equal_cosine,patch_equal_cosine,sequence_equal_cosine
normal,raw,1,0,1,68,-0.030352210626006126,-0.38084208965301514,0.4218696653842926,0.0035584550350904465,0.0035584550350904465,0.0035584550350904465
normal,common,1,0,1,68,0.9485408663749695,0.957510769367218,0.9562954902648926,0.9541157086690267,0.9541157086690267,0.9541157086690267
normal,unique,1,0,1,68,0.3965211510658264,0.6485062837600708,0.39513057470321655,0.4800526698430379,0.4800526698430379,0.4800526698430379
overcast,raw,1,0,1,126,-0.022297730669379234,-0.36989057064056396,0.4156414568424225,0.00781771851082643,0.00781771851082643,0.00781771851082643
overcast,common,1,0,1,126,0.9469952583312988,0.959077000617981,0.9586056470870972,0.954892635345459,0.954892635345459,0.954892635345459
overcast,unique,1,0,1,126,0.3712904453277588,0.650633692741394,0.36677029728889465,0.4628981451193492,0.4628981451193492,0.4628981451193492
fog,raw,1,0,1,33,-0.0073648300021886826,-0.3918485939502716,0.40246647596359253,0.0010843506703774135,0.0010843506703774135,0.0010843506703774135
fog,common,1,0,1,33,0.9402816295623779,0.9660634398460388,0.965514063835144,0.9572863777478536,0.9572863777478536,0.9572863777478536
fog,unique,1,0,1,33,0.5211472511291504,0.6719471216201782,0.5135730504989624,0.5688891410827637,0.5688891410827637,0.5688891410827637
rain,raw,1,0,1,21,-0.06272131204605103,-0.3620125949382782,0.38582003116607666,-0.01297129193941752,-0.01297129193941752,-0.01297129193941752
rain,common,1,0,1,21,0.9500685334205627,0.9355659484863281,0.9322591423988342,0.9392978747685751,0.9392978747685751,0.9392978747685751
rain,unique,1,0,1,21,0.1757848858833313,0.5836473107337952,0.14484183490276337,0.30142467717329663,0.30142467717329663,0.30142467717329663
sleet,raw,1,0,1,30,-0.0030803477857261896,-0.38161441683769226,0.4167291820049286,0.010678139127170047,0.010678139127170047,0.010678139127170047
sleet,common,1,0,1,30,0.9565213322639465,0.9666977524757385,0.9758686423301697,0.9663625756899515,0.9663625756899515,0.9663625756899515
sleet,unique,1,0,1,30,0.13384199142456055,0.667478084564209,0.146391361951828,0.31590381264686584,0.31590381264686584,0.31590381264686584
lightsnow,raw,1,0,1,33,-0.014749377965927124,-0.3774016797542572,0.40590667724609375,0.004585206508636475,0.004585206508636475,0.004585206508636475
lightsnow,common,1,0,1,33,0.9438645839691162,0.9613164663314819,0.9660810232162476,0.9570873578389486,0.9570873578389486,0.9570873578389486
lightsnow,unique,1,0,1,33,0.4284082353115082,0.6630914211273193,0.4274142384529114,0.5063046316305796,0.5063046316305796,0.5063046316305796
heavysnow,raw,1,0,1,35,0.005755575839430094,-0.3483109772205353,0.4241184890270233,0.02718769588197271,0.02718769588197271,0.02718769588197271
heavysnow,common,1,0,1,35,0.9172747135162354,0.92681884765625,0.9613919854164124,0.9351618488629659,0.935161848862966,0.9351618488629659
heavysnow,unique,1,0,1,35,0.36595624685287476,0.6749938726425171,0.3441486358642578,0.46169958511988324,0.4616995851198833,0.46169958511988324
