weather,feature,frames,frames_without_foreground,sequences,foreground_patches,cosine_CL,cosine_CR,cosine_LR,frame_equal_cosine,patch_equal_cosine,sequence_equal_cosine
normal,raw,4309,0,17,317581,-0.028562817865436813,-0.37580565253718323,0.4133487506217374,0.002993426739705799,0.0037772234513574502,0.0014213734724492996
normal,common,4309,0,17,317581,0.9455454915409216,0.9583912020383619,0.9620795425889552,0.955338745389413,0.9554388307573831,0.9554608264082873
normal,unique,4309,0,17,317581,0.34293723249205804,0.6545388906205107,0.34101161317167994,0.4461625787614163,0.4464551020792496,0.440111830971219
overcast,raw,383,0,2,33918,-0.023070832679787403,-0.37248718193865943,0.41193942231546804,0.005460469232340411,0.005860937528897906,0.004511781398386481
overcast,common,383,0,2,33918,0.9520032136620803,0.9573540776267687,0.9675542699761552,0.958970520421668,0.958553110242,0.9575987673200757
overcast,unique,383,0,2,33918,0.4210935292605009,0.650080481335015,0.41110955174846997,0.4940945207813286,0.489896130579519,0.4901951284712577
fog,raw,1049,0,6,43909,-0.02398676091741122,-0.38064996206385393,0.4081567101130836,0.0011733290439394823,0.0001382550410434565,-0.0027125764929288414
fog,common,1049,0,6,43909,0.9390544055528705,0.9505139496124165,0.964731947027921,0.9514334340644027,0.9524272298556214,0.9541347090897668
fog,unique,1049,0,6,43909,0.46592796334661224,0.6612370943773123,0.45721583021493956,0.528126962646288,0.5281705027385559,0.5364455102402235
rain,raw,1317,0,8,125257,-0.035070439625140774,-0.37742503891411205,0.4102313621033297,-0.0007547054786410379,-0.0007323782715579462,-0.0060085283499000846
rain,common,1317,0,8,125257,0.9430989106224628,0.9565384106013298,0.958636915584179,0.9527580789359905,0.9520447688262471,0.9539890555247441
rain,unique,1317,0,8,125257,0.38547460824228547,0.6510805012877456,0.376677436138883,0.47107751522297137,0.4642323861723164,0.473326531717719
sleet,raw,1106,0,7,41665,-0.0086300606676292,-0.3763131402284715,0.40149195419513295,0.005516251099677405,0.005089250051472233,0.00437443815925922
sleet,common,1106,0,7,41665,0.9583506492550938,0.947766770236531,0.9638147937238324,0.956644071071819,0.957030874137626,0.9529710710413558
sleet,unique,1106,0,7,41665,0.5111858039744077,0.6529389121864415,0.48395621594021376,0.5493603107003543,0.5464697538931336,0.5268691814220633
lightsnow,raw,803,0,4,36196,-0.024098181150369272,-0.3889010920471153,0.3940491847053708,-0.006316696164037923,-0.0070847038611874845,-0.002438236941776842
lightsnow,common,803,0,4,36196,0.946993930031027,0.9582034480081846,0.9622441280081144,0.9558138353491087,0.9567392072048743,0.958548488638984
lightsnow,unique,803,0,4,36196,0.4787089827367259,0.6589512264594937,0.46429409732483096,0.5339847688403502,0.5405653987473562,0.5218332747021133
heavysnow,raw,1098,0,7,44123,-0.027872070996286916,-0.38371066879379295,0.40668337410807825,-0.001633121894000537,-0.0027854042728124554,0.00035487642759123055
heavysnow,common,1098,0,7,44123,0.9525074622778728,0.9481222553005635,0.9601347403013858,0.9535881526266072,0.9541499471482331,0.9529188830112687
heavysnow,unique,1098,0,7,44123,0.49538956472619633,0.6458043551075872,0.4692814260965488,0.5368251153101108,0.5333134643920654,0.5844935694909461
