feature,pair,centering,linear_cka
raw,C-L,global_centered,0.29082981175114053
raw,C-L,weather_centered,0.3193445042855069
raw,C-R,global_centered,0.36033345441900333
raw,C-R,weather_centered,0.33742245542078797
raw,L-R,global_centered,0.450407024925849
raw,L-R,weather_centered,0.4226045024058338
shared,C-L,global_centered,0.1328577516611606
shared,C-L,weather_centered,0.11326018110099556
shared,C-R,global_centered,0.12419396503218208
shared,C-R,weather_centered,0.1324548981949419
shared,L-R,global_centered,0.13863550449602946
shared,L-R,weather_centered,0.14484935457805326
specific,C-L,global_centered,0.21655548471690098
specific,C-L,weather_centered,0.35109952444302833
specific,C-R,global_centered,0.06007837092330859
specific,C-R,weather_centered,0.05465637041232808
specific,L-R,global_centered,0.029193431251544968
specific,L-R,weather_centered,0.05338268316952515
