model,cls,group,gt,tp_3D,recall_3D,tp_BEV,recall_BEV,tp_mean_xy_m,tp_mean_z_m,tp_mean_size_l1_m,tp_mean_yaw_axis_deg
objdec_clr,all,all,11854,10399,0.8772566222372195,10889,0.9185928800404927,0.09106414604465513,0.04992734482210065,0.1674029940778859,5.882283593035669
objdec_lr,all,all,11854,10475,0.8836679601822169,10935,0.9224734266914122,0.09083758631396621,0.0493255322069143,0.1698582268757012,6.309980149431778
asf,all,all,11854,10413,0.8784376581744558,10868,0.9168213261346381,0.09086031233999171,0.04767678184791631,0.16647443831007017,6.03314954849407
l4dr,all,all,11854,10398,0.8771722625274169,10868,0.9168213261346381,0.09054473486683422,0.04867246956954104,0.16889643815302532,6.446975231424219
objdec_clr,all,range:0-30,4734,4491,0.9486692015209125,4558,0.9628221377270807,0.07816825266975178,0.03654865334252158,0.15293700043779787,5.375498512102019
objdec_lr,all,range:0-30,4734,4507,0.9520490071820871,4573,0.9659907055344318,0.0793855404065947,0.03666941970520652,0.15436324182941613,5.702115183022425
asf,all,range:0-30,4734,4515,0.9537389100126743,4580,0.9674693705111956,0.07787563225699451,0.03506009818497191,0.14989761772213847,5.559221284128374
l4dr,all,range:0-30,4734,4485,0.9474017743979721,4545,0.9600760456273765,0.07881163719020381,0.03492676663537455,0.154813223705111,5.923071034400229
objdec_clr,all,range:30-60,5461,4678,0.8566196667277055,4926,0.9020325947628639,0.09735897583976072,0.05603839368322508,0.17203116379343786,6.220499785224226
objdec_lr,all,range:30-60,5461,4709,0.8622962827321003,4944,0.905328694378319,0.09557589384884213,0.055386120041709314,0.17384291617929568,6.832684859506563
asf,all,range:30-60,5461,4691,0.8590001831166453,4924,0.9016663614722579,0.09720039792550758,0.05285589978618234,0.17143867800952883,6.47153201938267
l4dr,all,range:30-60,5461,4675,0.8560703167917963,4916,0.9002014283098334,0.0959669681918872,0.05344985492886069,0.172210560316708,6.890472854360467
objdec_clr,all,range:60+,1659,1230,0.7414104882459313,1405,0.8468957203134418,0.11420905934968524,0.07553402519807582,0.20261941644234385,6.446345748657572
objdec_lr,all,range:60+,1659,1259,0.7588908981314044,1418,0.8547317661241712,0.11411135972365057,0.07196396821259127,0.21042375163581278,6.530973734709609
asf,all,range:60+,1659,1207,0.727546714888487,1364,0.8221820373719108,0.11479112351901194,0.07474313188088069,0.2091895141380329,6.1021917545194855
