method,baseline,cls,group,gt,common_tp_3D,gained,lost,recall_delta_3D,recall_delta_BEV,common_tp_objdec_lr_xy_m,common_tp_l4dr_xy_m,common_tp_objdec_lr_z_m,common_tp_l4dr_z_m,common_tp_objdec_lr_size_l1_m,common_tp_l4dr_size_l1_m,common_tp_objdec_lr_yaw_axis_deg,common_tp_l4dr_yaw_axis_deg,common_tp_objdec_clr_xy_m,common_tp_asf_xy_m,common_tp_objdec_clr_z_m,common_tp_asf_z_m,common_tp_objdec_clr_size_l1_m,common_tp_asf_size_l1_m,common_tp_objdec_clr_yaw_axis_deg,common_tp_asf_yaw_axis_deg
objdec_lr,l4dr,all,all,11854,10033,442,365,0.006495697654800067,0.0056521005567740845,0.08847223771683115,0.08844271278491096,0.04794689613186231,0.04729279355920809,0.1669378786741481,0.16618677708190827,6.205922217391002,6.390997155633274,,,,,,,,
objdec_clr,asf,all,all,11854,9977,422,436,-0.001181035937236376,0.0017715539058545638,,,,,,,,,0.08881088563231403,0.08809976255334671,0.04837329473641075,0.0465162227300288,0.165486507874232,0.1629351659947602,5.735224612302325,5.968431305708077
objdec_lr,l4dr,all,range:0-30,4734,4409,98,76,0.004647232784114913,0.005914659907055344,0.07790226948777682,0.07791240486585387,0.0361513266892059,0.034464558094941006,0.152536967824608,0.15410775290267703,5.576292717508488,5.853792277465854,,,,,,,,
objdec_clr,asf,all,range:0-30,4734,4429,62,86,-0.005069708491761723,-0.004647232784114913,,,,,,,,,0.07749249609389113,0.07668561983046004,0.03597822897077334,0.03462810294089057,0.15235485109929764,0.14955971640155988,5.291720025958659,5.525004976904741
objdec_lr,l4dr,all,range:30-60,5461,4496,213,179,0.0062259659403039735,0.005127266068485625,0.09364608320532064,0.093788562420877,0.053915958019682735,0.05238329229571482,0.17221827103733167,0.17002953024866105,6.718010941880878,6.817169573949206,,,,,,,,
objdec_clr,asf,all,range:30-60,5461,4469,209,222,-0.0023805163889397546,0.0003662332906061161,,,,,,,,,0.09497049089116777,0.09480905477802085,0.05454914963456789,0.051675587135220594,0.17116250225456803,0.16863862770359692,6.071046624685252,6.350228746080508
objdec_lr,l4dr,all,range:60+,1659,1128,131,110,0.012658227848101266,0.006630500301386378,0.109164951019714,0.10829482949751673,0.07026051618951432,0.07714457356153016,0.20217987501346474,0.1980834077277505,6.625856224195546,6.792118711565657,,,,,,,,
objdec_clr,asf,all,range:60+,1659,1079,151,128,0.013863773357444244,0.02471368294153104,,,,,,,,,0.10975793972300699,0.10716316493295402,0.0736725076522067,0.0739446592631994,0.1958795467717875,0.1942151436328446,6.1647827583419845,6.207247292033916
objdec_lr,l4dr,all,lidar:0-5,170,1,18,0,0.10588235294117647,0.16470588235294117,0.058913569897413254,0.09800467640161514,0.09945487976074219,0.14286553859710693,0.06228506565093994,0.028448283672332764,4.1442482421275875,27.962693830427487,,,,,,,,
objdec_clr,asf,all,lidar:0-5,170,9,2,15,-0.07647058823529412,-0.11764705882352941,,,,,,,,,0.17828576101197136,0.16540482060776818,0.08761843707826403,0.06436675786972046,0.19984332720438638,0.1983538402451409,5.559992803329931,3.355077105691861
