case,condition,frames,metric,iou,AP,delta_pp
baseline,all,10065,AP3D,0.3,88.3599179788903,0.0
baseline,all,10065,AP3D,0.5,67.48376248399028,0.0
baseline,all,10065,AP3D,0.7,22.060283976008794,0.0
baseline,all,10065,BEV,0.3,88.83704090846908,0.0
baseline,all,10065,BEV,0.5,88.1066440455159,0.0
baseline,all,10065,BEV,0.7,62.653167952116625,0.0
baseline,normal,4309,AP3D,0.3,87.65400411626068,0.0
baseline,normal,4309,AP3D,0.5,65.99407184929107,0.0
baseline,normal,4309,AP3D,0.7,19.606470092509465,0.0
baseline,normal,4309,BEV,0.3,88.43511748166347,0.0
baseline,normal,4309,BEV,0.5,87.39412289312092,0.0
baseline,normal,4309,BEV,0.7,59.78124868274477,0.0
baseline,overcast,383,AP3D,0.3,90.39827064856584,0.0
baseline,overcast,383,AP3D,0.5,80.22346722192928,0.0
baseline,overcast,383,AP3D,0.7,22.38047616549616,0.0
baseline,overcast,383,BEV,0.3,90.48400542178221,0.0
baseline,overcast,383,BEV,0.5,90.31568221339472,0.0
baseline,overcast,383,BEV,0.7,77.35628302996332,0.0
baseline,fog,1049,AP3D,0.3,90.53464252918766,0.0
baseline,fog,1049,AP3D,0.5,79.71561656628528,0.0
baseline,fog,1049,AP3D,0.7,45.84147898380133,0.0
baseline,fog,1049,BEV,0.3,99.51025766928645,0.0
baseline,fog,1049,BEV,0.5,90.53849848349543,0.0
baseline,fog,1049,BEV,0.7,75.20850207946924,0.0
baseline,rain,1317,AP3D,0.3,88.89263102569666,0.0
baseline,rain,1317,AP3D,0.5,74.89244831898648,0.0
baseline,rain,1317,AP3D,0.7,22.83888342722422,0.0
baseline,rain,1317,BEV,0.3,89.2273310421904,0.0
baseline,rain,1317,BEV,0.5,89.0138128790618,0.0
baseline,rain,1317,BEV,0.7,74.45958164715914,0.0
baseline,sleet,1106,AP3D,0.3,80.43030657763921,0.0
baseline,sleet,1106,AP3D,0.5,57.30555456868199,0.0
baseline,sleet,1106,AP3D,0.7,14.173559767061256,0.0
baseline,sleet,1106,BEV,0.3,80.72284431039658,0.0
baseline,sleet,1106,BEV,0.5,70.24428584337191,0.0
baseline,sleet,1106,BEV,0.7,40.690671550250975,0.0
baseline,lightsnow,803,AP3D,0.3,89.26964174417968,0.0
baseline,lightsnow,803,AP3D,0.5,78.32613330916686,0.0
baseline,lightsnow,803,AP3D,0.7,26.32548131414542,0.0
baseline,lightsnow,803,BEV,0.3,89.50902760879073,0.0
baseline,lightsnow,803,BEV,0.5,88.95703694460563,0.0
baseline,lightsnow,803,BEV,0.7,73.37665244835549,0.0
baseline,heavysnow,1098,AP3D,0.3,71.41417310832963,0.0
baseline,heavysnow,1098,AP3D,0.5,60.51254017902761,0.0
baseline,heavysnow,1098,AP3D,0.7,24.90963086139743,0.0
baseline,heavysnow,1098,BEV,0.3,79.25964393433283,0.0
baseline,heavysnow,1098,BEV,0.5,70.45738135175185,0.0
baseline,heavysnow,1098,BEV,0.7,52.67752819619339,0.0
gate_mean,all,10065,AP3D,0.3,53.90149945858569,-34.458418520304605
gate_mean,all,10065,AP3D,0.5,40.21089780760949,-27.272864676380784
gate_mean,all,10065,AP3D,0.7,7.959294436906378,-14.100989539102416
gate_mean,all,10065,BEV,0.3,54.262254223232375,-34.5747866852367
gate_mean,all,10065,BEV,0.5,53.163529934073026,-34.94311411144288
gate_mean,all,10065,BEV,0.7,37.60247317503704,-25.050694777079585
gate_mean,normal,4309,AP3D,0.3,53.71906835823667,-33.93493575802401
gate_mean,normal,4309,AP3D,0.5,39.38269624303336,-26.611375606257717
gate_mean,normal,4309,AP3D,0.7,5.809626006223061,-13.796844086286404
gate_mean,normal,4309,BEV,0.3,54.04749458157124,-34.387622900092225
gate_mean,normal,4309,BEV,0.5,53.27642237529587,-34.11770051782505
gate_mean,normal,4309,BEV,0.7,35.49669536443884,-24.284553318305925
gate_mean,overcast,383,AP3D,0.3,54.48323456035538,-35.915036088210464
gate_mean,overcast,383,AP3D,0.5,52.724723295170605,-27.498743926758678
gate_mean,overcast,383,AP3D,0.7,16.351010101010104,-6.029466064486055
gate_mean,overcast,383,BEV,0.3,54.52602952602953,-35.95797589575268
gate_mean,overcast,383,BEV,0.5,54.5066045066045,-35.80907770679022
gate_mean,overcast,383,BEV,0.7,37.967104197050716,-39.389178832912606
gate_mean,fog,1049,AP3D,0.3,72.60256889269475,-17.932073636492916
gate_mean,fog,1049,AP3D,0.5,60.966407874339815,-18.749208691945462
gate_mean,fog,1049,AP3D,0.7,28.360364061587063,-17.481114922214267
gate_mean,fog,1049,BEV,0.3,72.68923545074173,-26.821022218544712
gate_mean,fog,1049,BEV,0.5,72.54469417009288,-17.99380431340255
gate_mean,fog,1049,BEV,0.7,60.02479969223978,-15.18370238722946
gate_mean,rain,1317,AP3D,0.3,54.162180329988054,-34.730450695708605
gate_mean,rain,1317,AP3D,0.5,41.133552999173304,-33.75889531981318
gate_mean,rain,1317,AP3D,0.7,15.536376522446224,-7.302506904777998
gate_mean,rain,1317,BEV,0.3,54.46318335485637,-34.76414768733403
gate_mean,rain,1317,BEV,0.5,54.37832584350248,-34.63548703555932
gate_mean,rain,1317,BEV,0.7,41.78175485686981,-32.67782679028933
gate_mean,sleet,1106,AP3D,0.3,43.691507800864,-36.73879877677521
gate_mean,sleet,1106,AP3D,0.5,25.159801719806453,-32.14575284887554
gate_mean,sleet,1106,AP3D,0.7,6.269592476489029,-7.903967290572227
gate_mean,sleet,1106,BEV,0.3,54.36661725400336,-26.356227056393223
gate_mean,sleet,1106,BEV,0.5,37.55772683922579,-32.68655900414612
gate_mean,sleet,1106,BEV,0.7,15.12001512001512,-25.570656430235857
gate_mean,lightsnow,803,AP3D,0.3,45.348457861816264,-43.921183882363415
gate_mean,lightsnow,803,AP3D,0.5,34.270349742047856,-44.05578356711901
gate_mean,lightsnow,803,AP3D,0.7,10.011293054771315,-16.314188259374106
gate_mean,lightsnow,803,BEV,0.3,45.37001474153472,-44.139012867256014
gate_mean,lightsnow,803,BEV,0.5,45.37001474153472,-43.587022203070916
gate_mean,lightsnow,803,BEV,0.7,42.78015961149882,-30.59649283685667
gate_mean,heavysnow,1098,AP3D,0.3,45.368620037807176,-26.04555307052246
gate_mean,heavysnow,1098,AP3D,0.5,43.84423518404794,-16.66830499497967
gate_mean,heavysnow,1098,AP3D,0.7,18.818087237646495,-6.091543623750937
gate_mean,heavysnow,1098,BEV,0.3,45.38567493112948,-33.87396900320335
gate_mean,heavysnow,1098,BEV,0.5,45.146562664438044,-25.310818687313805
gate_mean,heavysnow,1098,BEV,0.7,30.991393799909332,-21.68613439628406
gate_shuffle_260923,all,10065,AP3D,0.3,21.377548525683803,-66.98236945320649
gate_shuffle_260923,all,10065,AP3D,0.5,17.528376816428562,-49.955385667561714
gate_shuffle_260923,all,10065,AP3D,0.7,4.735579970721005,-17.32470400528779
gate_shuffle_260923,all,10065,BEV,0.3,21.59837862790196,-67.23866228056713
gate_shuffle_260923,all,10065,BEV,0.5,21.043931438661055,-67.06271260685486
gate_shuffle_260923,all,10065,BEV,0.7,16.64460053196382,-46.0085674201528
gate_shuffle_260923,normal,4309,AP3D,0.3,26.047521415266665,-61.606482700994015
gate_shuffle_260923,normal,4309,AP3D,0.5,20.633213753610953,-45.36085809568012
gate_shuffle_260923,normal,4309,AP3D,0.7,4.0494682535247986,-15.557001838984666
gate_shuffle_260923,normal,4309,BEV,0.3,26.290716998877283,-62.14440048278618
gate_shuffle_260923,normal,4309,BEV,0.5,25.619800058801967,-61.77432283431895
gate_shuffle_260923,normal,4309,BEV,0.7,18.8597252439122,-40.921523438832565
gate_shuffle_260923,overcast,383,AP3D,0.3,27.244947024495445,-63.153323624070396
gate_shuffle_260923,overcast,383,AP3D,0.5,23.52840296334785,-56.69506425858143
gate_shuffle_260923,overcast,383,AP3D,0.7,11.876310108154167,-10.504166057341992
gate_shuffle_260923,overcast,383,BEV,0.3,27.676514224375097,-62.80749119740712
gate_shuffle_260923,overcast,383,BEV,0.5,27.23213377373345,-63.08354843966127
gate_shuffle_260923,overcast,383,BEV,0.7,21.571923925786464,-55.78435910417686
gate_shuffle_260923,fog,1049,AP3D,0.3,21.354766544143516,-69.17987598504415
gate_shuffle_260923,fog,1049,AP3D,0.5,20.512394573812635,-59.20322199247264
gate_shuffle_260923,fog,1049,AP3D,0.7,8.697097660299063,-37.144381323502266
gate_shuffle_260923,fog,1049,BEV,0.3,21.49816967182061,-78.01208799746584
gate_shuffle_260923,fog,1049,BEV,0.5,21.33850715461528,-69.19999132888015
gate_shuffle_260923,fog,1049,BEV,0.7,13.698801247881487,-61.50970083158775
gate_shuffle_260923,rain,1317,AP3D,0.3,21.205917182929003,-67.68671384276766
gate_shuffle_260923,rain,1317,AP3D,0.5,17.283331197823788,-57.6091171211627
gate_shuffle_260923,rain,1317,AP3D,0.7,6.240898135624994,-16.597985291599226
gate_shuffle_260923,rain,1317,BEV,0.3,21.451794965775168,-67.77553607641524
gate_shuffle_260923,rain,1317,BEV,0.5,21.126974423374513,-67.8868384556873
gate_shuffle_260923,rain,1317,BEV,0.7,17.397546592776234,-57.0620350543829
gate_shuffle_260923,sleet,1106,AP3D,0.3,14.987441346125873,-65.44286523151334
gate_shuffle_260923,sleet,1106,AP3D,0.5,11.786271915924283,-45.51928265275771
gate_shuffle_260923,sleet,1106,AP3D,0.7,4.813687110337828,-9.359872656723429
gate_shuffle_260923,sleet,1106,BEV,0.3,16.94507705786372,-63.77776725253286
gate_shuffle_260923,sleet,1106,BEV,0.5,13.993490703756637,-56.25079513961528
