weather,feature,frames,cosine_CL,cosine_CR,cosine_LR,cosine_mean
normal,raw,24,-0.03053335987223206,-0.373139421666501,0.4123169569359481,0.00288139179907169
overcast,raw,24,-0.021194992415347513,-0.3732720839137998,0.41319405295026906,0.0062423255403739235
fog,raw,24,-0.025316345355297875,-0.3811689902430901,0.40594368201233005,-0.00018055119535263323
rain,raw,24,-0.031224290224825105,-0.375538303188887,0.4124296037115476,0.0018890034326118355
sleet,raw,24,-0.011333275805881733,-0.3760332430321034,0.396399475845793,0.0030109856692692913
lightsnow,raw,24,-0.024885296984430316,-0.3875959333928884,0.39098164245613815,-0.007166529307060188
heavysnow,raw,24,-0.02712693326608559,-0.3809641286812849,0.412868085571458,0.0015923412080291837
normal,common,24,0.9484379075927148,0.9564663181629373,0.9623661334726162,0.9557567864094229
overcast,common,24,0.9532772151601748,0.9566438254255059,0.9684308641960584,0.9594506349272464
fog,common,24,0.9349014660441745,0.9495594502837704,0.9638590098504006,0.9494399753927819
rain,common,24,0.948132342200087,0.9559074145313664,0.9614169041318199,0.9551522202877578
sleet,common,24,0.9574317590793656,0.9473497137137388,0.960705920786033,0.9551624645263792
lightsnow,common,24,0.9460484306209752,0.9571317412302838,0.9603009890949096,0.9544937203153895
heavysnow,common,24,0.9506225886236347,0.9433765456429222,0.9569809236830883,0.9503266859832151
normal,unique,24,0.35660210078882254,0.6521258463025384,0.3513305322778652,0.4533528264564088
overcast,unique,24,0.42640429864177637,0.6466927899717968,0.41464939105556864,0.49591549322304723
fog,unique,24,0.4601371950187098,0.6641206656442902,0.4538852600591852,0.5260477069073951
rain,unique,24,0.39248358606515726,0.6462191842017609,0.3811082043961385,0.47327032488768556
sleet,unique,24,0.5106221799355755,0.6494375888158148,0.48427345984360853,0.5481110761983329
lightsnow,unique,24,0.4738106875982276,0.6572916954801223,0.45976542315659247,0.5302892687449808
heavysnow,unique,24,0.4778385641776309,0.6444882744692642,0.4526273631047257,0.5249847339172069
