method,sensors,checkpoint,epoch,split,frames,3D_Vehicle,3D_Pedestrian,3D_Cyclist,3D_mean,BEV_Vehicle,BEV_Pedestrian,BEV_Cyclist,BEV_mean
Concat,C+L+R,training_val_best,75,val_deduplicated,1487,84.63611308824228,76.17329061454974,83.5659717635354,81.4584584887758,91.3014862937645,80.02915782800223,85.93245991359191,85.75436801178621
Concat,C+L+R,best,75,test_deduplicated,1486,84.80895879975945,76.83526365027694,84.05413941213314,81.89945395405651,92.11555822291355,80.66108593153501,86.63651335414593,86.47105250286484
Concat,C+L+R,last,80,test_deduplicated,1486,84.7461160868409,76.91624223241867,84.23308594786093,81.96514808904017,92.0156448114613,80.69667582470646,86.6859616523012,86.46609409615633
ASF-style,C+L+R,training_val_best,80,val_deduplicated,1487,84.64116815371608,75.14933080527133,83.302890171962,81.03112971031648,91.0809777669647,78.48255421206083,85.94866666634098,85.17073288178884
ASF-style,C+L+R,best,80,test_deduplicated,1486,84.53606582722921,76.17443841988457,83.17609584330118,81.29553336347165,90.94920475955662,80.41215688172653,85.80191558081752,85.7210924073669
ASF-style,C+L+R,last,80,test_deduplicated,1486,84.53606582722921,76.17443841988457,83.17609584330118,81.29553336347165,90.94920475955662,80.41215688172653,85.80191558081752,85.7210924073669
ObjDec,C+L+R,training_val_best,70,val_deduplicated,1487,84.64612116346035,75.13551901767997,84.4346515098209,81.40543056365374,91.0453187612732,79.17102507722232,86.64390365178731,85.62008249676093
ObjDec,C+L+R,best,70,test_deduplicated,1486,84.06295500222427,75.93915673608306,84.12965247015039,81.37725473615258,90.91434251952505,80.8769727281702,87.01602400214018,86.26911308327847
ObjDec,C+L+R,last,80,test_deduplicated,1486,83.97747944963527,76.50897352116351,84.15994791565564,81.54880029548481,90.83644366628837,81.15827569754126,87.06611258650202,86.35361065011055
L4DR,L+R,training_val_best,80,val_deduplicated,1487,82.0436299089909,71.3011835780854,78.23520825635018,77.19334058114215,89.6192388882506,74.72675607380835,80.72887512675322,81.69162336293739
L4DR,L+R,best,80,test_deduplicated,1486,83.1672203707883,73.25271984715907,78.31048094585621,78.24347372126788,89.7375895093618,76.60470635339685,81.3486566798922,82.56365084755028
L4DR,L+R,last,80,test_deduplicated,1486,83.1667291702945,73.25170560840976,78.309338912571,78.24259123042509,89.73759039967481,76.60226444648741,81.34865857717185,82.56283780777802
ObjDec-LR,L+R,training_val_best,75,val_deduplicated,1487,84.11104651642188,72.71844635162716,80.53984525385083,79.12311270729997,90.01953146142971,76.32636260507896,83.1039064106227,83.14993349237712
ObjDec-LR,L+R,best,75,test_deduplicated,1486,83.87271388421182,74.83741053053598,80.24087670854678,79.65033370776486,90.02407863669924,78.3387149512692,83.07536556035606,83.81271971610816
ObjDec-LR,L+R,last,80,test_deduplicated,1486,84.11690827865486,74.78176117469675,80.35746363838788,79.75204436391316,90.10316075788454,78.21357601603538,83.09246507623328,83.8030672833844
