id,weather,num_gt,shortlist_rank,foreground_patches,full_patches,gate_fg_mean,gate_bg_mean,gate_gap,gate_max,camera_id,lidar_id
seq20_rdr00628,normal,1,1,28,1440,0.3153669536113739,0.12078533321619034,0.19458162039518356,0.8205353617668152,01783,00595
seq9_rdr00347,normal,3,13,102,1440,0.23798485100269318,0.12534122169017792,0.11264362931251526,0.7807679176330566,00969,00324
seq7_rdr00272,normal,2,18,62,1440,0.2229674756526947,0.1257181316614151,0.0972493439912796,0.8481612205505371,00718,00239
seq13_rdr00146,overcast,2,1,60,1440,0.2994846701622009,0.11117158085107803,0.1883130893111229,0.8272957801818848,00321,00107
seq22_rdr00484,overcast,4,13,157,1440,0.2373286485671997,0.11299039423465729,0.12433825433254242,0.8822885155677795,01445,00482
seq22_rdr00218,overcast,2,18,72,1440,0.24232631921768188,0.12318941205739975,0.11913690716028214,0.7305766344070435,00647,00216
seq45_rdr00613,fog,1,1,21,1440,0.3877679705619812,0.1120733842253685,0.2756945863366127,0.9996273517608643,01727,00592
seq39_rdr00582,fog,1,13,40,1440,0.29423031210899353,0.10783475637435913,0.1863955557346344,0.9924328327178955,01721,00575
seq39_rdr00491,fog,1,18,28,1440,0.2752101719379425,0.09991484135389328,0.17529533058404922,0.5943534970283508,01449,00484
seq25_rdr00154,rain,4,1,142,1440,0.28821703791618347,0.1180514469742775,0.17016559094190598,0.9999978542327881,00464,00155
seq24_rdr00286,rain,3,13,96,1440,0.2816058099269867,0.11891462653875351,0.16269118338823318,0.8077453374862671,00849,00283
seq25_rdr00475,rain,3,18,104,1440,0.2553236782550812,0.11172572523355484,0.14359795302152634,0.8815138936042786,01427,00476
seq43_rdr00169,lightsnow,1,1,35,1440,0.3710974156856537,0.1102956235408783,0.2608017921447754,0.6021351218223572,00489,00164
seq49_rdr00593,lightsnow,1,13,17,1440,0.3100966811180115,0.11491628736257553,0.19518039375543594,0.47053226828575134,01697,00587
seq42_rdr00264,lightsnow,1,18,28,1440,0.24381975829601288,0.10898978263139725,0.13482997566461563,0.6385238170623779,00735,00255
seq58_rdr00258,heavysnow,1,1,35,1440,0.41663435101509094,0.11475027352571487,0.30188407748937607,0.9811254739761353,00731,00253
seq55_rdr00385,heavysnow,1,13,35,1440,0.2817133963108063,0.11863897740840912,0.16307441890239716,0.7610042691230774,01082,00380
seq57_rdr00279,heavysnow,1,18,40,1440,0.24131043255329132,0.11408000439405441,0.1272304281592369,0.7388027906417847,00795,00274
seq51_rdr00237,sleet,1,1,32,1440,0.4083353281021118,0.10698249191045761,0.3013528361916542,0.9461072683334351,00679,00231
seq52_rdr00550,sleet,1,13,33,1440,0.2639881372451782,0.10358794033527374,0.16040019690990448,0.7868517637252808,01620,00548
seq50_rdr00456,sleet,2,18,65,1440,0.29127606749534607,0.11792556941509247,0.1733504980802536,0.9430209398269653,01331,00449
