frame_idx,seq,sample_id,weather,num_fg_patches,num_bg_patches,camera_mean,lidar_mean,radar_mean,dominant,dominant_value,dominance_margin,entropy_mean,balance_score_mean,fg_gate_mean,bg_gate_mean,fg_gate_delta
0,1,00182,urban,48,24,0.004922,0.994388,0.000689,L,0.994388,0.989466,0.030551,0.006301,0.257977,0.124335,0.133642
1,1,00183,urban,48,24,0.005448,0.993767,0.000784,L,0.993767,0.988319,0.032436,0.007017,0.276688,0.124101,0.152587
2,1,00184,urban,48,24,0.004328,0.995071,0.000601,L,0.995071,0.990743,0.027212,0.005530,0.260893,0.138330,0.122563
3,1,00185,urban,48,24,0.006009,0.993043,0.000948,L,0.993043,0.987034,0.035929,0.007906,0.334050,0.126729,0.207320
4,1,00186,urban,48,24,0.005426,0.993707,0.000867,L,0.993707,0.988281,0.033666,0.007159,0.314383,0.120295,0.194088
5,1,00187,urban,48,24,0.004503,0.994807,0.000690,L,0.994807,0.990304,0.028406,0.005882,0.345060,0.140879,0.204182
6,1,00188,urban,48,24,0.005290,0.993931,0.000780,L,0.993931,0.988641,0.032328,0.006849,0.311127,0.122916,0.188211
7,1,00189,urban,48,24,0.004102,0.995227,0.000671,L,0.995227,0.991126,0.026702,0.005444,0.347004,0.108815,0.238189
8,1,00190,urban,48,24,0.005516,0.993607,0.000877,L,0.993607,0.988091,0.034057,0.007271,0.307411,0.114042,0.193369
9,1,00191,urban,48,24,0.005029,0.994169,0.000802,L,0.994169,0.989140,0.031328,0.006632,0.329338,0.119537,0.209801
10,1,00192,urban,48,24,0.004017,0.995351,0.000632,L,0.995351,0.991335,0.025434,0.005281,0.372144,0.122338,0.249806
11,1,00193,urban,48,24,0.004474,0.994777,0.000749,L,0.994777,0.990303,0.029068,0.005972,0.322389,0.115328,0.207061
12,1,00194,urban,48,24,0.005412,0.993687,0.000900,L,0.993687,0.988275,0.033848,0.007213,0.303270,0.116717,0.186554
13,1,00195,urban,48,24,0.007894,0.990805,0.001301,L,0.990805,0.982910,0.047489,0.010496,0.323951,0.138188,0.185763
14,1,00196,urban,48,24,0.007426,0.991323,0.001251,L,0.991323,0.983896,0.044929,0.009928,0.305841,0.131930,0.173911
15,1,00197,urban,48,24,0.006012,0.993001,0.000986,L,0.993001,0.986989,0.037289,0.007985,0.295184,0.127284,0.167900
16,1,00198,urban,48,24,0.006464,0.992554,0.000982,L,0.992554,0.986090,0.038725,0.008429,0.297545,0.132770,0.164775
17,1,00199,urban,28,24,0.004590,0.994691,0.000719,L,0.994691,0.990100,0.029456,0.006029,0.329051,0.123927,0.205123
18,1,00200,urban,35,24,0.006274,0.992750,0.000976,L,0.992750,0.986476,0.038122,0.008227,0.297162,0.142313,0.154849
19,1,00201,urban,35,24,0.006339,0.992702,0.000960,L,0.992702,0.986363,0.038635,0.008258,0.287805,0.128969,0.158836
20,1,00202,urban,28,24,0.003984,0.995372,0.000644,L,0.995372,0.991387,0.026426,0.005272,0.326735,0.120607,0.206128
21,1,00203,urban,28,24,0.006043,0.992921,0.001036,L,0.992921,0.986878,0.037310,0.008115,0.352140,0.128169,0.223970
22,1,00204,urban,28,24,0.005028,0.994128,0.000845,L,0.994128,0.989100,0.032127,0.006717,0.358604,0.121635,0.236970
23,1,00205,urban,25,24,0.007825,0.991146,0.001029,L,0.991146,0.983321,0.044834,0.009884,0.224772,0.129156,0.095616
24,1,00206,urban,35,24,0.005450,0.993688,0.000862,L,0.993688,0.988238,0.034095,0.007174,0.311884,0.126396,0.185487
25,1,00207,urban,30,24,0.005201,0.993974,0.000826,L,0.993974,0.988773,0.032174,0.006852,0.341685,0.136100,0.205585
26,1,00208,urban,35,24,0.006749,0.992202,0.001049,L,0.992202,0.985453,0.040796,0.008847,0.295649,0.125852,0.169797
27,1,00209,urban,35,24,0.006901,0.992007,0.001093,L,0.992007,0.985106,0.041490,0.009086,0.289009,0.125135,0.163874
28,1,00210,urban,30,24,0.006304,0.992714,0.000982,L,0.992714,0.986410,0.038386,0.008269,0.301576,0.129086,0.172490
29,1,00211,urban,30,24,0.004452,0.994871,0.000677,L,0.994871,0.990419,0.028498,0.005806,0.334613,0.115823,0.218790
30,1,00212,urban,28,24,0.003979,0.995407,0.000614,L,0.995407,0.991427,0.024957,0.005208,0.355163,0.124061,0.231102
31,1,00213,urban,28,24,0.004713,0.994547,0.000740,L,0.994547,0.989834,0.029339,0.006194,0.332413,0.134810,0.197603
32,1,00214,urban,28,24,0.004009,0.995358,0.000633,L,0.995358,0.991349,0.026250,0.005274,0.358287,0.121530,0.236758
33,1,00215,urban,24,24,0.005064,0.994148,0.000788,L,0.994148,0.989084,0.032006,0.006640,0.361930,0.116021,0.245909
34,1,00216,urban,24,24,0.005273,0.993893,0.000834,L,0.993893,0.988620,0.033340,0.006942,0.360806,0.119951,0.240855
35,1,00217,urban,30,24,0.005421,0.993767,0.000812,L,0.993767,0.988345,0.033433,0.007045,0.328238,0.119767,0.208470
36,1,00218,urban,35,24,0.006321,0.992678,0.001001,L,0.992678,0.986357,0.038822,0.008324,0.313707,0.136918,0.176790
