frame_idx,seq,sample_id,weather,num_fg_patches,num_bg_patches,camera_mean,lidar_mean,radar_mean,dominant,dominant_value,dominance_margin,entropy_mean,balance_score_mean,fg_gate_mean,bg_gate_mean,fg_gate_delta
0,1,00182,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.274028,0.149499,0.124529
1,1,00539,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.265286,0.137418,0.127868
2,3,00285,normal,32,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.283009,0.140931,0.142079
3,5,00300,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.291690,0.147599,0.144091
4,7,00272,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.273057,0.139666,0.133391
5,8,00481,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.255022,0.163229,0.091793
6,9,00347,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.231604,0.140403,0.091201
7,9,00742,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.321577,0.158209,0.163368
8,10,00381,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.244530,0.130397,0.114133
9,10,00569,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.255540,0.129814,0.125726
10,10,01146,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.287011,0.129169,0.157842
11,11,00508,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.274880,0.143305,0.131574
12,11,01128,normal,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.363925,0.156268,0.207657
13,12,00413,normal,33,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.275811,0.133049,0.142762
14,12,00822,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.267516,0.144250,0.123266
15,15,00208,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.156546,0.153354,0.003192
16,15,00561,normal,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.353302,0.159547,0.193755
17,16,00302,normal,35,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.280049,0.154061,0.125988
18,17,00200,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.276238,0.130789,0.145448
19,18,00190,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.258111,0.134529,0.123581
20,18,00525,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.252391,0.137524,0.114867
21,19,00289,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.236739,0.141336,0.095403
22,19,00628,normal,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.315807,0.168963,0.146844
23,20,00628,normal,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.311335,0.144576,0.166759
24,13,00096,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.340862,0.119159,0.221703
25,13,00113,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.267639,0.120249,0.147390
26,13,00129,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.323597,0.126598,0.196999
27,13,00146,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.332172,0.136754,0.195418
28,13,00250,overcast,13,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.121676,0.111896,0.009780
29,22,00152,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.298087,0.137112,0.160975
30,22,00169,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.344945,0.138136,0.206809
31,22,00185,overcast,33,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.281635,0.117848,0.163787
32,22,00202,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.326732,0.137342,0.189391
33,22,00218,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.231728,0.152339,0.079389
34,22,00235,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.263553,0.136164,0.127389
35,22,00252,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.262406,0.126206,0.136200
36,22,00268,overcast,35,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.281959,0.124012,0.157946
37,22,00285,overcast,32,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.320012,0.124616,0.195396
38,22,00451,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.302340,0.135878,0.166462
39,22,00467,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.277861,0.132955,0.144905
40,22,00484,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.283034,0.135357,0.147677
41,22,00500,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.253272,0.102323,0.150948
42,22,00517,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.309856,0.112941,0.196915
43,22,00534,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.321859,0.120010,0.201849
44,22,00550,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.277148,0.133414,0.143734
45,22,00567,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.253089,0.101564,0.151525
46,22,00583,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.257736,0.129996,0.127740
47,22,00600,overcast,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.304473,0.121164,0.183310
48,38,00158,fog,30,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.325088,0.117981,0.207106
49,38,00204,fog,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.319061,0.128596,0.190465
50,38,00249,fog,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.307315,0.125499,0.181816
51,38,00295,fog,16,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.368179,0.121939,0.246240
52,39,00174,fog,31,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.294073,0.126346,0.167727
53,39,00220,fog,29,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.292952,0.137581,0.155370
54,39,00265,fog,30,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.295535,0.088417,0.207118
55,39,00491,fog,25,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.337421,0.093252,0.244169
56,39,00537,fog,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.346651,0.110029,0.236622
57,39,00582,fog,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.330287,0.126895,0.203392
58,40,00476,fog,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.309031,0.112813,0.196219
59,40,00521,fog,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.316565,0.124184,0.192381
60,40,00567,fog,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.328822,0.137211,0.191611
61,41,00192,fog,30,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.273908,0.117034,0.156873
62,41,00238,fog,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.306553,0.127427,0.179126
63,44,00250,fog,30,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.262544,0.114580,0.147964
64,44,00583,fog,30,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.258300,0.117337,0.140962
65,45,00192,fog,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.281777,0.106572,0.175206
66,45,00237,fog,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.260819,0.120654,0.140165
67,45,00283,fog,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.300479,0.122212,0.178267
68,45,00476,fog,14,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.307474,0.117318,0.190156
69,45,00522,fog,14,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.317836,0.108796,0.209040
70,45,00567,fog,14,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.307732,0.124658,0.183074
71,45,00613,fog,14,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.311708,0.089456,0.222252
72,21,00197,rain,17,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.168379,0.135690,0.032688
73,21,00256,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.229109,0.126013,0.103096
74,21,00462,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.222525,0.145613,0.076912
75,21,00520,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.251195,0.123875,0.127320
76,21,00577,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.210771,0.152180,0.058591
77,23,00184,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.320924,0.138012,0.182912
78,23,00241,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.271646,0.149996,0.121650
79,23,00299,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.306878,0.145449,0.161429
80,23,00505,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.340326,0.123268,0.217058
81,23,00562,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.321614,0.145514,0.176100
82,24,00171,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.331424,0.095125,0.236299
83,24,00228,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.286213,0.123682,0.162531
84,24,00286,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.347552,0.127488,0.220063
85,24,00492,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.313443,0.131142,0.182301
86,24,00549,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.327822,0.117795,0.210027
87,25,00154,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.262897,0.123122,0.139775
88,25,00211,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.309306,0.110716,0.198590
89,25,00269,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.280083,0.133012,0.147070
90,25,00475,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.270949,0.115222,0.155727
91,25,00532,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.199344,0.103676,0.095668
92,25,00589,rain,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.293058,0.117624,0.175434
93,26,00284,rain,34,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.219621,0.138830,0.080791
94,33,00214,rain,32,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.231133,0.112516,0.118617
95,34,00175,rain,30,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.248602,0.152415,0.096187
96,30,00123,sleet,22,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.248578,0.120831,0.127747
97,30,00171,sleet,23,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.252661,0.151565,0.101096
98,30,00219,sleet,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.204597,0.130421,0.074176
99,30,00384,sleet,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.275761,0.136375,0.139385
100,30,00432,sleet,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.236144,0.133393,0.102750
101,31,00163,sleet,27,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.298889,0.117452,0.181437
102,50,00211,sleet,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.180449,0.106056,0.074393
103,50,00259,sleet,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.199498,0.090305,0.109193
104,50,00456,sleet,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.333800,0.124469,0.209331
105,50,00504,sleet,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.337115,0.112833,0.224282
106,50,00552,sleet,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.327987,0.122589,0.205398
107,51,00237,sleet,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.368718,0.104130,0.264588
108,51,00286,sleet,36,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.236411,0.130946,0.105465
109,52,00181,sleet,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.264029,0.122745,0.141284
110,52,00229,sleet,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.299538,0.126474,0.173065
111,52,00277,sleet,31,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.309422,0.102575,0.206848
112,52,00502,sleet,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.125217,0.083454,0.041763
113,52,00550,sleet,28,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.264085,0.095033,0.169052
114,52,00598,sleet,32,18,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.128186,0.120808,0.007378
