weather,feature,mean_pair_distance,max_pair_distance,Camera-LiDAR,Camera-4D Radar,LiDAR-4D Radar
normal,raw,18.26403,20.41292,15.12863,20.41292,19.25054
overcast,raw,18.32268,20.4833,15.11879,20.4833,19.36595
fog,raw,18.07142,20.16356,14.64976,20.16356,19.40093
rain,raw,18.21957,20.57507,14.9332,20.57507,19.15043
sleet,raw,18.23621,20.53956,14.6646,20.53956,19.50447
lightsnow,raw,18.33548,20.52919,14.88074,20.52919,19.5965
heavysnow,raw,18.13837,20.37357,14.92249,20.37357,19.11905
normal,common,3.877454,4.58745,4.256199,4.58745,2.788713
overcast,common,3.889775,4.750379,3.92389,4.750379,2.995054
fog,common,3.246555,4.198257,2.882744,4.198257,2.658663
rain,common,3.764459,4.83557,3.915356,4.83557,2.54245
sleet,common,3.608201,4.589989,3.207847,4.589989,3.026768
lightsnow,common,3.461985,4.389787,3.311901,4.389787,2.684267
heavysnow,common,3.665831,4.760355,3.539849,4.760355,2.697289
normal,unique,22.17388,27.67527,27.67527,17.27604,21.57033
overcast,unique,21.43469,26.59477,26.59477,17.15696,20.55233
fog,unique,18.9735,23.82414,23.82414,15.48872,17.60766
rain,unique,21.51644,26.52307,26.52307,17.49262,20.53363
sleet,unique,18.37482,22.10318,22.10318,16.99339,16.02789
lightsnow,unique,19.89146,24.77903,24.77903,16.30486,18.5905
heavysnow,unique,19.51841,23.85946,23.85946,17.32419,17.37157
