weather,foreground_group,modality,count,mean_reliability,std_reliability,mean_fg_gate,std_fg_gate
normal,fg,Camera,832,4.351586e-08,8.529987e-08,0.2732116,0.1720524
normal,fg,LiDAR,832,0.9999999,1.436879e-07,0.2732116,0.1720524
normal,fg,4D Radar,832,2.572664e-08,7.042232e-08,0.2732116,0.1720524
normal,all,Camera,1264,5.068248e-08,9.159184e-08,0.22922,0.1543573
normal,all,LiDAR,1264,0.9999999,1.387746e-07,0.22922,0.1543573
normal,all,4D Radar,1264,2.098242e-08,5.967925e-08,0.22922,0.1543573
normal,bg,Camera,432,6.448487e-08,1.012087e-07,0.1444953,0.04238901
normal,bg,LiDAR,432,0.9999999,1.287501e-07,0.1444953,0.04238901
normal,bg,4D Radar,432,1.18454e-08,2.725678e-08,0.1444953,0.04238901
overcast,fg,Camera,833,3.775897e-08,8.676055e-08,0.2892566,0.1909644
overcast,fg,LiDAR,833,0.9999999,1.257516e-07,0.2892566,0.1909644
overcast,fg,4D Radar,833,2.024438e-08,4.807717e-08,0.2892566,0.1909644
overcast,all,Camera,1265,4.714078e-08,1.02234e-07,0.2336469,0.1746574
overcast,all,LiDAR,1265,0.9999999,1.327635e-07,0.2336469,0.1746574
overcast,all,4D Radar,1265,1.600734e-08,4.239008e-08,0.2336469,0.1746574
overcast,bg,Camera,432,6.523117e-08,1.24875e-07,0.1264181,0.03934032
overcast,bg,LiDAR,432,0.9999999,1.450526e-07,0.1264181,0.03934032
overcast,bg,4D Radar,432,7.83731e-09,2.65232e-08,0.1264181,0.03934032
fog,fg,Camera,655,1.982311e-08,4.474734e-08,0.3037885,0.1794453
fog,fg,LiDAR,655,1,7.718042e-08,0.3037885,0.1794453
fog,fg,4D Radar,655,1.432981e-08,3.352805e-08,0.3037885,0.1794453
fog,all,Camera,1087,2.874971e-08,7.273909e-08,0.2296997,0.168203
fog,all,LiDAR,1087,1,9.242326e-08,0.2296997,0.168203
fog,all,4D Radar,1087,1.08653e-08,2.796043e-08,0.2296997,0.168203
fog,bg,Camera,432,4.228424e-08,9.98661e-08,0.1173661,0.03774802
fog,bg,LiDAR,432,1,1.114032e-07,0.1173661,0.03774802
fog,bg,4D Radar,432,5.612385e-09,1.472854e-08,0.1173661,0.03774802
rain,fg,Camera,833,4.22167e-08,1.071317e-07,0.2764451,0.1757054
rain,fg,LiDAR,833,0.9999999,1.49824e-07,0.2764451,0.1757054
rain,fg,4D Radar,833,2.246717e-08,6.116793e-08,0.2764451,0.1757054
rain,all,Camera,1265,4.218939e-08,1.027131e-07,0.2259781,0.1608236
rain,all,LiDAR,1265,0.9999999,1.434043e-07,0.2259781,0.1608236
rain,all,4D Radar,1265,1.814948e-08,5.565329e-08,0.2259781,0.1608236
rain,bg,Camera,432,4.213674e-08,9.360585e-08,0.1286657,0.04273791
rain,bg,LiDAR,432,1,1.295528e-07,0.1286657,0.04273791
rain,bg,4D Radar,432,9.823923e-09,4.183062e-08,0.1286657,0.04273791
sleet,fg,Camera,686,1.921502e-08,4.582863e-08,0.2611568,0.1607483
sleet,fg,LiDAR,686,1,7.327866e-08,0.2611568,0.1607483
sleet,fg,4D Radar,686,1.066731e-08,2.783373e-08,0.2611568,0.1607483
sleet,all,Camera,1118,2.220326e-08,5.121456e-08,0.2058222,0.1458956
sleet,all,LiDAR,1118,1,7.10737e-08,0.2058222,0.1458956
sleet,all,4D Radar,1118,8.255281e-09,2.2599e-08,0.2058222,0.1458956
sleet,bg,Camera,432,2.694848e-08,5.844838e-08,0.1179528,0.03833966
sleet,bg,LiDAR,432,1,6.737639e-08,0.1179528,0.03833966
sleet,bg,4D Radar,432,4.42506e-09,8.220765e-09,0.1179528,0.03833966
lightsnow,fg,Camera,723,2.174666e-08,4.708224e-08,0.2825184,0.1670333
lightsnow,fg,LiDAR,723,1,8.260446e-08,0.2825184,0.1670333
lightsnow,fg,4D Radar,723,1.573117e-08,3.854082e-08,0.2825184,0.1670333
lightsnow,all,Camera,1155,2.73201e-08,6.691646e-08,0.2229104,0.1549126
lightsnow,all,LiDAR,1155,1,1.06188e-07,0.2229104,0.1549126
lightsnow,all,4D Radar,1155,1.39156e-08,4.838709e-08,0.2229104,0.1549126
lightsnow,bg,Camera,432,3.664788e-08,9.012757e-08,0.1231498,0.03960316
lightsnow,bg,LiDAR,432,1,1.367494e-07,0.1231498,0.03960316
lightsnow,bg,4D Radar,432,1.087705e-08,6.131094e-08,0.1231498,0.03960316
heavysnow,fg,Camera,718,2.889746e-08,6.224725e-08,0.261119,0.1723037
heavysnow,fg,LiDAR,718,1,1.120218e-07,0.261119,0.1723037
heavysnow,fg,4D Radar,718,1.988524e-08,5.63686e-08,0.261119,0.1723037
heavysnow,all,Camera,1150,3.110678e-08,6.71643e-08,0.2069597,0.1547611
heavysnow,all,LiDAR,1150,1,1.076096e-07,0.2069597,0.1547611
heavysnow,all,4D Radar,1150,1.479097e-08,4.861417e-08,0.2069597,0.1547611
heavysnow,bg,Camera,432,3.477876e-08,7.447844e-08,0.1169449,0.03791012
heavysnow,bg,LiDAR,432,1,9.932728e-08,0.1169449,0.03791012
heavysnow,bg,4D Radar,432,6.324091e-09,2.992462e-08,0.1169449,0.03791012
