feature_type,pc1,pc2,modality,modality_key,foreground,patch_idx,frame_idx,seq,sample_id,weather,fg_gate,sensor_reliability
raw,-14.0048,-1.933941,Camera,cam_bev_feat,1,487,0,1,00182,urban,0.2976599,0.002089308
raw,-13.91972,-1.947483,Camera,cam_bev_feat,1,1134,0,1,00182,urban,0.5312731,8.063366e-07
raw,-13.66275,-1.898105,Camera,cam_bev_feat,1,1404,0,1,00182,urban,0.1289883,0.008637314
raw,-14.03754,-2.041875,Camera,cam_bev_feat,1,402,0,1,00182,urban,0.2333616,0.003667861
raw,-13.9315,-1.929372,Camera,cam_bev_feat,1,1040,0,1,00182,urban,0.1184578,0.01686293
raw,-13.83529,-2.046784,Camera,cam_bev_feat,1,1315,0,1,00182,urban,0.2261252,0.00144169
raw,-13.95639,-1.915846,Camera,cam_bev_feat,1,1132,0,1,00182,urban,0.1682607,0.001031211
raw,-13.94261,-1.936382,Camera,cam_bev_feat,1,1133,0,1,00182,urban,0.4720919,2.164502e-06
raw,-13.65528,-1.67098,Camera,cam_bev_feat,0,1183,0,1,00182,urban,0.1848765,0.02708202
raw,-13.76369,-2.06255,Camera,cam_bev_feat,0,889,0,1,00182,urban,0.168148,0.004391108
raw,-13.91975,-1.956266,Camera,cam_bev_feat,0,1216,0,1,00182,urban,0.1289272,0.01140439
raw,-12.69823,-2.394852,Camera,cam_bev_feat,0,1165,0,1,00182,urban,0.08417653,0.007577004
raw,4.303517,8.467836,LiDAR,spatial_features_2d,1,487,0,1,00182,urban,0.2976599,0.9975876
raw,2.204704,4.321022,LiDAR,spatial_features_2d,1,1134,0,1,00182,urban,0.5312731,0.999999
raw,4.260677,8.461083,LiDAR,spatial_features_2d,1,1404,0,1,00182,urban,0.1289883,0.9901673
raw,4.317099,7.439556,LiDAR,spatial_features_2d,1,402,0,1,00182,urban,0.2333616,0.9956656
raw,4.427686,8.930771,LiDAR,spatial_features_2d,1,1040,0,1,00182,urban,0.1184578,0.9809481
