frame_idx,seq,sample_id,weather,num_fg_patches,num_bg_patches,camera_mean,lidar_mean,radar_mean,dominant,dominant_value,dominance_margin,entropy_mean,balance_score_mean,fg_gate_mean,bg_gate_mean,fg_gate_delta
0,1,00182,normal,36,18,0.005249,0.994014,0.000737,L,0.994014,0.988765,0.032451,0.006724,0.248102,0.122811,0.125291
1,1,00539,normal,36,18,0.005788,0.993320,0.000892,L,0.993320,0.987532,0.035917,0.007572,0.296261,0.113882,0.182379
2,3,00285,normal,36,18,0.004863,0.994537,0.000600,L,0.994537,0.989675,0.029770,0.006063,0.208608,0.114634,0.093973
3,5,00300,normal,36,18,0.005474,0.993727,0.000799,L,0.993727,0.988253,0.033057,0.007072,0.236291,0.108574,0.127716
4,7,00272,normal,36,18,0.005672,0.993543,0.000784,L,0.993543,0.987871,0.034861,0.007241,0.216240,0.112020,0.104220
5,8,00481,normal,36,18,0.009641,0.988729,0.001631,L,0.988729,0.979088,0.057713,0.012902,0.225717,0.128518,0.097199
6,9,00347,normal,36,18,0.005251,0.993941,0.000807,L,0.993941,0.988690,0.033107,0.006866,0.255432,0.124615,0.130817
7,9,00742,normal,36,18,0.003812,0.995618,0.000570,L,0.995618,0.991805,0.024778,0.004952,0.288503,0.129599,0.158904
8,10,00381,normal,36,18,0.005954,0.993248,0.000799,L,0.993248,0.987294,0.035026,0.007551,0.268894,0.107472,0.161422
9,10,00569,normal,36,18,0.006553,0.992554,0.000892,L,0.992554,0.986001,0.039716,0.008338,0.185368,0.107212,0.078156
10,10,01146,normal,36,18,0.006234,0.992861,0.000905,L,0.992861,0.986627,0.038103,0.008044,0.215950,0.118667,0.097284
11,11,00508,normal,36,18,0.002774,0.996803,0.000423,L,0.996803,0.994029,0.019278,0.003620,0.292717,0.136420,0.156297
12,11,01128,normal,35,18,0.001364,0.998449,0.000187,L,0.998449,0.997084,0.010293,0.001739,0.248242,0.122775,0.125467
13,12,00413,normal,36,18,0.006611,0.992342,0.001047,L,0.992342,0.985731,0.040895,0.008704,0.257924,0.108129,0.149795
14,12,00822,normal,36,18,0.005686,0.993526,0.000788,L,0.993526,0.987839,0.035125,0.007263,0.252401,0.132583,0.119818
15,15,00208,normal,36,18,0.002273,0.997445,0.000281,L,0.997445,0.995172,0.015596,0.002836,0.148939,0.131014,0.017924
16,15,00561,normal,36,18,0.008721,0.989914,0.001365,L,0.989914,0.981194,0.051594,0.011450,0.283438,0.140934,0.142505
17,16,00302,normal,36,18,0.007852,0.990987,0.001161,L,0.990987,0.983135,0.045602,0.010173,0.278548,0.124490,0.154058
18,17,00200,normal,36,18,0.004899,0.994320,0.000781,L,0.994320,0.989421,0.031745,0.006462,0.276425,0.111739,0.164686
19,18,00190,normal,36,18,0.006474,0.992569,0.000957,L,0.992569,0.986096,0.040100,0.008388,0.252813,0.112052,0.140761
20,18,00525,normal,36,18,0.007381,0.991455,0.001164,L,0.991455,0.984075,0.044780,0.009709,0.286064,0.120866,0.165198
21,19,00289,normal,36,18,0.011593,0.986745,0.001662,L,0.986745,0.975152,0.064771,0.014917,0.203306,0.115449,0.087857
22,19,00628,normal,36,18,0.009677,0.988663,0.001661,L,0.988663,0.978986,0.056095,0.012998,0.302158,0.124079,0.178079
23,20,00628,normal,28,18,0.004981,0.994279,0.000740,L,0.994279,0.989297,0.031469,0.006461,0.315368,0.121912,0.193456
24,13,00096,overcast,36,18,0.006051,0.993056,0.000893,L,0.993056,0.987004,0.036782,0.007837,0.241335,0.134691,0.106644
25,13,00113,overcast,36,18,0.005616,0.993545,0.000839,L,0.993545,0.987929,0.034770,0.007294,0.238669,0.119140,0.119529
26,13,00129,overcast,36,18,0.008160,0.990677,0.001164,L,0.990677,0.982517,0.048360,0.010487,0.204892,0.108257,0.096635
27,13,00146,overcast,36,18,0.003736,0.995687,0.000577,L,0.995687,0.991951,0.024383,0.004890,0.342293,0.108337,0.233956
28,13,00250,overcast,16,18,0.002222,0.997489,0.000289,L,0.997489,0.995267,0.015807,0.002799,0.119062,0.102931,0.016131
29,22,00152,overcast,36,18,0.005097,0.994153,0.000749,L,0.994153,0.989056,0.031467,0.006596,0.285703,0.117247,0.168455
30,22,00169,overcast,36,18,0.004145,0.995261,0.000594,L,0.995261,0.991116,0.026884,0.005333,0.234820,0.111709,0.123111
31,22,00185,overcast,36,18,0.006804,0.992157,0.001038,L,0.992157,0.985353,0.041198,0.008881,0.257956,0.104961,0.152995
32,22,00202,overcast,36,18,0.005799,0.993337,0.000864,L,0.993337,0.987538,0.035708,0.007527,0.239839,0.107272,0.132567
33,22,00218,overcast,36,18,0.003759,0.995695,0.000546,L,0.995695,0.991936,0.024709,0.004851,0.217019,0.115930,0.101088
34,22,00235,overcast,36,18,0.005544,0.993659,0.000798,L,0.993659,0.988115,0.033726,0.007139,0.282484,0.109260,0.173224
35,22,00252,overcast,36,18,0.005184,0.994137,0.000679,L,0.994137,0.988953,0.033164,0.006541,0.179964,0.128969,0.050995
36,22,00268,overcast,36,18,0.004727,0.994624,0.000649,L,0.994624,0.989897,0.029672,0.006025,0.221008,0.105686,0.115321
37,22,00285,overcast,36,18,0.004188,0.995204,0.000608,L,0.995204,0.991016,0.027348,0.005404,0.263763,0.097574,0.166189
38,22,00451,overcast,36,18,0.008457,0.990378,0.001165,L,0.990378,0.981922,0.049520,0.010787,0.212019,0.129433,0.082586
39,22,00467,overcast,36,18,0.008403,0.990387,0.001210,L,0.990387,0.981985,0.049626,0.010823,0.214423,0.119655,0.094768
40,22,00484,overcast,36,18,0.004420,0.994953,0.000627,L,0.994953,0.990533,0.028536,0.005674,0.240788,0.117061,0.123727
41,22,00500,overcast,36,18,0.006388,0.992651,0.000960,L,0.992651,0.986263,0.038804,0.008309,0.262933,0.095503,0.167430
42,22,00517,overcast,36,18,0.007059,0.991924,0.001017,L,0.991924,0.984864,0.041713,0.009093,0.207485,0.114300,0.093185
43,22,00534,overcast,36,18,0.005200,0.994039,0.000762,L,0.994039,0.988839,0.032024,0.006723,0.276061,0.110230,0.165831
44,22,00550,overcast,36,18,0.005183,0.994058,0.000760,L,0.994058,0.988875,0.031285,0.006702,0.227608,0.099748,0.127860
45,22,00567,overcast,36,18,0.002630,0.997004,0.000366,L,0.997004,0.994374,0.017399,0.003361,0.241362,0.097414,0.143948
46,22,00583,overcast,36,18,0.004825,0.994457,0.000718,L,0.994457,0.989632,0.029875,0.006262,0.243022,0.113806,0.129216
47,22,00600,overcast,36,18,0.005424,0.993812,0.000764,L,0.993812,0.988389,0.032601,0.006952,0.290227,0.109126,0.181101
48,38,00158,fog,33,18,0.003687,0.995730,0.000584,L,0.995730,0.992043,0.024840,0.004854,0.312290,0.111917,0.200373
49,38,00204,fog,35,18,0.007825,0.990998,0.001177,L,0.990998,0.983174,0.044245,0.010179,0.288156,0.106070,0.182085
50,38,00249,fog,30,18,0.007657,0.991237,0.001106,L,0.991237,0.983579,0.042664,0.009870,0.295712,0.114468,0.181244
51,38,00295,fog,20,18,0.004854,0.994452,0.000694,L,0.994452,0.989597,0.028022,0.006243,0.333043,0.111229,0.221814
52,39,00174,fog,36,18,0.006755,0.992290,0.000955,L,0.992290,0.985535,0.038653,0.008665,0.226368,0.111634,0.114735
53,39,00220,fog,34,18,0.002116,0.997587,0.000297,L,0.997587,0.995470,0.015171,0.002710,0.235259,0.120965,0.114294
54,39,00265,fog,33,18,0.002898,0.996649,0.000453,L,0.996649,0.993751,0.020056,0.003804,0.285480,0.092679,0.192802
55,39,00491,fog,28,18,0.002710,0.996874,0.000416,L,0.996874,0.994164,0.018354,0.003542,0.275211,0.099733,0.175478
56,39,00537,fog,32,18,0.005954,0.993123,0.000923,L,0.993123,0.987169,0.035379,0.007801,0.344493,0.106132,0.238361
57,39,00582,fog,36,18,0.007170,0.991713,0.001117,L,0.991713,0.984543,0.040828,0.009404,0.292764,0.097350,0.195414
58,40,00476,fog,36,18,0.004735,0.994529,0.000736,L,0.994529,0.989795,0.030437,0.006207,0.316482,0.106141,0.210341
59,40,00521,fog,36,18,0.007966,0.990847,0.001187,L,0.990847,0.982882,0.044330,0.010339,0.268975,0.116846,0.152129
60,40,00567,fog,35,18,0.009222,0.989310,0.001468,L,0.989310,0.980088,0.052685,0.012158,0.300670,0.116772,0.183898
61,41,00192,fog,36,18,0.004074,0.995384,0.000542,L,0.995384,0.991310,0.026709,0.005158,0.226630,0.108232,0.118398
62,41,00238,fog,36,18,0.004515,0.994859,0.000625,L,0.994859,0.990344,0.028008,0.005766,0.251879,0.105082,0.146798
