weather,feature,mean_pair_distance,max_pair_distance,Camera-LiDAR,Camera-4D Radar,LiDAR-4D Radar
normal,raw,19.32697,23.81488,19.73096,23.81488,14.43507
overcast,raw,19.43795,23.90908,19.80428,23.90908,14.60048
fog,raw,19.26393,23.68817,19.6343,23.68817,14.4693
rain,raw,19.34769,23.94062,19.62953,23.94062,14.47293
sleet,raw,19.30132,23.7809,19.47949,23.7809,14.64357
lightsnow,raw,19.43565,23.87586,19.69633,23.87586,14.73477
heavysnow,raw,19.29438,23.78236,19.71408,23.78236,14.3867
normal,common,4.989065,6.174184,6.174184,5.913424,2.879586
overcast,common,5.020673,6.088133,6.088133,6.004496,2.969389
fog,common,4.487963,6.120449,6.120449,5.008909,2.33453
rain,common,5.132385,6.120855,6.120855,6.090958,3.185342
sleet,common,4.385245,5.928257,5.928257,5.378413,1.849064
lightsnow,common,4.65793,6.066084,6.066084,5.35023,2.557475
heavysnow,common,4.509238,6.068622,6.068622,5.516703,1.942388
normal,unique,20.73616,23.59947,23.59947,18.18114,20.42786
overcast,unique,19.97799,22.33796,22.33796,18.27393,19.32209
fog,unique,18.41268,20.38858,20.38858,17.68137,17.1681
rain,unique,20.01273,22.35325,22.35325,18.39542,19.28951
sleet,unique,17.39676,18.57825,18.57825,18.17072,15.44132
lightsnow,unique,18.37312,20.19292,20.19292,17.89402,17.03241
heavysnow,unique,18.20169,19.79432,19.79432,18.19486,16.61588
