weather,foreground_group,modality,count,mean_reliability,std_reliability,mean_fg_gate,std_fg_gate
normal,fg,Camera,855,0.006047645,0.006299665,0.2512308,0.1706726
normal,fg,LiDAR,855,0.9930486,0.00723594,0.2512308,0.1706726
normal,fg,4D Radar,855,0.0009037737,0.0009519423,0.2512308,0.1706726
normal,all,Camera,1287,0.007201292,0.00690835,0.2073274,0.1533044
normal,all,LiDAR,1287,0.9917687,0.007894769,0.2073274,0.1533044
normal,all,4D Radar,1287,0.001030058,0.001004535,0.2073274,0.1533044
normal,bg,Camera,432,0.009484552,0.007469236,0.1204353,0.03163258
normal,bg,LiDAR,432,0.9892355,0.008508667,0.1204353,0.03163258
normal,bg,4D Radar,432,0.001279995,0.001057691,0.1204353,0.03163258
overcast,fg,Camera,844,0.005450534,0.005824624,0.2422147,0.1722127
overcast,fg,LiDAR,844,0.9937614,0.006670401,0.2422147,0.1722127
overcast,fg,4D Radar,844,0.0007880405,0.0008552092,0.2422147,0.1722127
overcast,all,Camera,1276,0.006696123,0.006448647,0.1979918,0.1540312
overcast,all,LiDAR,1276,0.9923784,0.007338639,0.1979918,0.1540312
overcast,all,4D Radar,1276,0.0009254274,0.0009016688,0.1979918,0.1540312
overcast,bg,Camera,432,0.009129634,0.006898908,0.1115934,0.02918016
overcast,bg,LiDAR,432,0.9896765,0.007817151,0.1115934,0.02918016
overcast,bg,4D Radar,432,0.001193841,0.0009292757,0.1115934,0.02918016
fog,fg,Camera,755,0.005155863,0.007336096,0.3004171,0.2167508
fog,fg,LiDAR,755,0.99404,0.008446902,0.3004171,0.2167508
fog,fg,4D Radar,755,0.0008041669,0.001126968,0.3004171,0.2167508
fog,all,Camera,1187,0.005687034,0.007614277,0.2299629,0.1973227
fog,all,LiDAR,1187,0.9934775,0.008742025,0.2299629,0.1973227
fog,all,4D Radar,1187,0.0008355128,0.0011431,0.2299629,0.1973227
fog,bg,Camera,432,0.006615355,0.007993171,0.1068312,0.03225126
fog,bg,LiDAR,432,0.9924943,0.009152553,0.1068312,0.03225126
fog,bg,4D Radar,432,0.0008902955,0.001168743,0.1068312,0.03225126
rain,fg,Camera,843,0.006023677,0.007379495,0.2495652,0.1778383
rain,fg,LiDAR,843,0.9930854,0.008487701,0.2495652,0.1778383
rain,fg,4D Radar,843,0.0008908871,0.001128789,0.2495652,0.1778383
rain,all,Camera,1275,0.006566258,0.008616793,0.2032864,0.1596277
rain,all,LiDAR,1275,0.9924987,0.009848413,0.2032864,0.1596277
rain,all,4D Radar,1275,0.0009350791,0.001248462,0.2032864,0.1596277
rain,bg,Camera,432,0.007625044,0.010544,0.1129783,0.03397009
rain,bg,LiDAR,432,0.9913536,0.01198732,0.1129783,0.03397009
rain,bg,4D Radar,432,0.001021315,0.001450023,0.1129783,0.03397009
sleet,fg,Camera,785,0.004711688,0.006798077,0.2774713,0.1977868
sleet,fg,LiDAR,785,0.9945223,0.007948423,0.2774713,0.1977868
sleet,fg,4D Radar,785,0.0007660499,0.001159295,0.2774713,0.1977868
sleet,all,Camera,1217,0.004924607,0.006326803,0.2211397,0.1771228
sleet,all,LiDAR,1217,0.9943238,0.007366035,0.2211397,0.1771228
sleet,all,4D Radar,1217,0.0007515863,0.001052722,0.2211397,0.1771228
sleet,bg,Camera,432,0.005311509,0.005343844,0.118778,0.03241673
sleet,bg,LiDAR,432,0.9939632,0.006152233,0.118778,0.03241673
sleet,bg,4D Radar,432,0.0007253042,0.0008238807,0.118778,0.03241673
lightsnow,fg,Camera,814,0.005617507,0.007582725,0.2792933,0.1952785
lightsnow,fg,LiDAR,814,0.9935088,0.008767501,0.2792933,0.1952785
lightsnow,fg,4D Radar,814,0.0008737389,0.00120782,0.2792933,0.1952785
lightsnow,all,Camera,1246,0.005781724,0.007412912,0.2221027,0.1772322
lightsnow,all,LiDAR,1246,0.9933572,0.008577875,0.2221027,0.1772322
lightsnow,all,4D Radar,1246,0.0008610484,0.001186086,0.2221027,0.1772322
lightsnow,bg,Camera,432,0.006091151,0.007071531,0.114341,0.03112787
lightsnow,bg,LiDAR,432,0.9930717,0.008201073,0.114341,0.03112787
lightsnow,bg,4D Radar,432,0.0008371362,0.001143628,0.114341,0.03112787
heavysnow,fg,Camera,812,0.005661643,0.006291418,0.2698598,0.2010731
heavysnow,fg,LiDAR,812,0.9934504,0.007279251,0.2698598,0.2010731
heavysnow,fg,4D Radar,812,0.0008879069,0.00100365,0.2698598,0.2010731
heavysnow,all,Camera,1244,0.005884772,0.006307106,0.2145134,0.180311
heavysnow,all,LiDAR,1244,0.9932387,0.007269788,0.2145134,0.180311
heavysnow,all,4D Radar,1244,0.0008765058,0.0009798113,0.2145134,0.180311
heavysnow,bg,Camera,432,0.006304171,0.00631519,0.1104827,0.03237933
heavysnow,bg,LiDAR,432,0.9928408,0.00723522,0.1104827,0.03237933
heavysnow,bg,4D Radar,432,0.0008550759,0.0009329802,0.1104827,0.03237933
