frame_idx,seq,sample_id,weather,num_fg_patches,num_bg_patches,camera_mean,lidar_mean,radar_mean,dominant,dominant_value,dominance_margin,entropy_mean,balance_score_mean,fg_gate_mean,bg_gate_mean,fg_gate_delta
0,1,00182,normal,36,18,,0.999072,0.000928,L,0.999072,0.998144,0.009937,0.001856,0.200273,0.071868,0.128405
1,1,00539,normal,36,18,,0.998851,0.001149,L,0.998851,0.997703,0.012024,0.002297,0.251415,0.063589,0.187826
2,3,00285,normal,36,18,,0.999243,0.000757,L,0.999243,0.998486,0.008290,0.001514,0.158732,0.067355,0.091377
3,5,00300,normal,36,18,,0.999007,0.000993,L,0.999007,0.998015,0.010295,0.001985,0.179759,0.063498,0.116261
4,7,00272,normal,36,18,,0.999021,0.000979,L,0.999021,0.998041,0.010482,0.001959,0.167197,0.064539,0.102657
5,8,00481,normal,36,18,,0.997875,0.002125,L,0.997875,0.995749,0.021086,0.004251,0.176394,0.079181,0.097213
6,9,00347,normal,36,18,,0.998980,0.001020,L,0.998980,0.997960,0.010821,0.002040,0.205333,0.072577,0.132756
7,9,00742,normal,36,18,,0.999292,0.000708,L,0.999292,0.998585,0.007834,0.001415,0.233983,0.078588,0.155394
8,10,00381,normal,36,18,,0.998960,0.001040,L,0.998960,0.997919,0.010806,0.002081,0.219662,0.061510,0.158152
9,10,00569,normal,36,18,,0.998867,0.001133,L,0.998867,0.997733,0.012028,0.002267,0.134121,0.058573,0.075547
10,10,01146,normal,36,18,,0.998862,0.001138,L,0.998862,0.997725,0.011977,0.002275,0.161573,0.067451,0.094122
11,11,00508,normal,36,18,,0.999472,0.000528,L,0.999472,0.998945,0.006104,0.001055,0.233490,0.077998,0.155491
12,11,01128,normal,35,18,,0.999773,0.000227,L,0.999773,0.999546,0.002881,0.000454,0.189689,0.073086,0.116603
13,12,00413,normal,36,18,,0.998663,0.001337,L,0.998663,0.997326,0.013906,0.002674,0.205960,0.055669,0.150291
14,12,00822,normal,36,18,,0.999006,0.000994,L,0.999006,0.998011,0.010637,0.001989,0.206080,0.076265,0.129814
15,15,00208,normal,36,18,,0.999690,0.000310,L,0.999690,0.999380,0.003752,0.000620,0.095215,0.079829,0.015386
16,15,00561,normal,36,18,,0.998238,0.001762,L,0.998238,0.996475,0.017707,0.003525,0.234519,0.086067,0.148452
17,16,00302,normal,36,18,,0.998518,0.001482,L,0.998518,0.997035,0.014933,0.002965,0.233204,0.070981,0.162223
18,17,00200,normal,36,18,,0.999009,0.000991,L,0.999009,0.998018,0.010646,0.001982,0.220191,0.064764,0.155427
19,18,00190,normal,36,18,,0.998786,0.001214,L,0.998786,0.997572,0.012858,0.002428,0.200410,0.061941,0.138469
20,18,00525,normal,36,18,,0.998535,0.001465,L,0.998535,0.997071,0.015016,0.002929,0.242688,0.068517,0.174171
21,19,00289,normal,36,18,,0.997857,0.002143,L,0.997857,0.995713,0.021040,0.004287,0.141403,0.068392,0.073011
22,19,00628,normal,36,18,,0.997838,0.002162,L,0.997838,0.995676,0.020780,0.004324,0.243180,0.076245,0.166935
23,20,00628,normal,28,18,,0.999063,0.000937,L,0.999063,0.998125,0.010134,0.001875,0.275349,0.071733,0.203616
24,13,00096,overcast,36,18,,0.998858,0.001142,L,0.998858,0.997716,0.011870,0.002284,0.186416,0.081052,0.105365
25,13,00113,overcast,36,18,,0.998938,0.001062,L,0.998938,0.997875,0.011137,0.002125,0.190814,0.069913,0.120901
26,13,00129,overcast,36,18,,0.998525,0.001475,L,0.998525,0.997049,0.015250,0.002951,0.150322,0.063727,0.086596
27,13,00146,overcast,36,18,,0.999260,0.000740,L,0.999260,0.998521,0.008024,0.001479,0.311774,0.062928,0.248846
28,13,00250,overcast,16,18,,0.999665,0.000335,L,0.999665,0.999330,0.004121,0.000670,0.065201,0.054558,0.010644
29,22,00152,overcast,36,18,,0.999046,0.000954,L,0.999046,0.998093,0.010098,0.001907,0.230409,0.067595,0.162814
30,22,00169,overcast,36,18,,0.999260,0.000740,L,0.999260,0.998521,0.008185,0.001479,0.176124,0.059543,0.116582
31,22,00185,overcast,36,18,,0.998696,0.001304,L,0.998696,0.997392,0.013494,0.002608,0.204610,0.059196,0.145414
32,22,00202,overcast,36,18,,0.998878,0.001122,L,0.998878,0.997757,0.011740,0.002243,0.176832,0.059942,0.116890
33,22,00218,overcast,36,18,,0.999323,0.000677,L,0.999323,0.998646,0.007556,0.001354,0.152252,0.065281,0.086970
34,22,00235,overcast,36,18,,0.998989,0.001011,L,0.998989,0.997977,0.010644,0.002023,0.238506,0.064084,0.174421
35,22,00252,overcast,36,18,,0.999182,0.000818,L,0.999182,0.998363,0.009261,0.001637,0.131657,0.070368,0.061290
36,22,00268,overcast,36,18,,0.999190,0.000810,L,0.999190,0.998379,0.008786,0.001621,0.173652,0.059439,0.114213
37,22,00285,overcast,36,18,,0.999230,0.000770,L,0.999230,0.998460,0.008532,0.001540,0.214457,0.051954,0.162503
38,22,00451,overcast,36,18,,0.998531,0.001469,L,0.998531,0.997063,0.015110,0.002937,0.166386,0.078379,0.088007
39,22,00467,overcast,36,18,,0.998475,0.001525,L,0.998475,0.996950,0.015674,0.003050,0.165896,0.071329,0.094567
40,22,00484,overcast,36,18,,0.999218,0.000782,L,0.999218,0.998437,0.008651,0.001563,0.195272,0.065764,0.129508
41,22,00500,overcast,36,18,,0.998789,0.001211,L,0.998789,0.997579,0.012566,0.002421,0.206677,0.048665,0.158013
42,22,00517,overcast,36,18,,0.998696,0.001304,L,0.998696,0.997392,0.013295,0.002608,0.158337,0.060914,0.097423
43,22,00534,overcast,36,18,,0.999033,0.000967,L,0.999033,0.998066,0.010183,0.001934,0.225822,0.061676,0.164146
44,22,00550,overcast,36,18,,0.999038,0.000962,L,0.999038,0.998076,0.009852,0.001924,0.179033,0.054273,0.124760
45,22,00567,overcast,36,18,,0.999556,0.000444,L,0.999556,0.999113,0.005017,0.000887,0.185786,0.053188,0.132598
46,22,00583,overcast,36,18,,0.999103,0.000897,L,0.999103,0.998206,0.009464,0.001794,0.186140,0.066344,0.119796
47,22,00600,overcast,36,18,,0.999036,0.000964,L,0.999036,0.998072,0.010079,0.001928,0.248380,0.063782,0.184599
48,38,00158,fog,33,18,,0.999265,0.000735,L,0.999265,0.998531,0.008205,0.001469,0.260927,0.058291,0.202636
49,38,00204,fog,35,18,,0.998461,0.001539,L,0.998461,0.996921,0.014974,0.003079,0.242560,0.054313,0.188248
50,38,00249,fog,30,18,,0.998557,0.001443,L,0.998557,0.997115,0.014027,0.002885,0.252951,0.057014,0.195937
51,38,00295,fog,20,18,,0.999073,0.000927,L,0.999073,0.998146,0.009285,0.001854,0.296115,0.057317,0.238797
52,39,00174,fog,36,18,,0.998756,0.001244,L,0.998756,0.997512,0.012417,0.002488,0.176123,0.058830,0.117292
