frame_idx,seq,sample_id,weather,patch_idx,foreground,camera,lidar,radar,dominant,dominant_value,dominance_margin,entropy,balance_score,fg_gate
0,1,00182,normal,487,1,,0.999613,0.000387,L,0.999613,0.999226,0.004942,0.000774,0.202408
0,1,00182,normal,1134,1,,1.000000,0.000000,L,1.000000,1.000000,0.000003,0.000000,0.525523
0,1,00182,normal,1404,1,,0.998551,0.001449,L,0.998551,0.997101,0.015757,0.002899,0.083356
0,1,00182,normal,402,1,,0.999154,0.000846,L,0.999154,0.998309,0.009851,0.001691,0.164084
0,1,00182,normal,1040,1,,0.997367,0.002633,L,0.997367,0.994734,0.026358,0.005266,0.072515
0,1,00182,normal,1315,1,,0.999710,0.000290,L,0.999710,0.999421,0.003821,0.000579,0.121320
0,1,00182,normal,1132,1,,0.999856,0.000143,L,0.999856,0.999713,0.002039,0.000287,0.110742
0,1,00182,normal,1133,1,,1.000000,0.000000,L,1.000000,0.999999,0.000006,0.000001,0.427117
0,1,00182,normal,1047,1,,0.999590,0.000410,L,0.999590,0.999180,0.005207,0.000820,0.066960
0,1,00182,normal,581,1,,0.997098,0.002902,L,0.997098,0.994196,0.028641,0.005804,0.131903
0,1,00182,normal,1226,1,,0.999991,0.000009,L,0.999991,0.999981,0.000169,0.000019,0.141515
0,1,00182,normal,1130,1,,0.999129,0.000871,L,0.999129,0.998257,0.010114,0.001743,0.087132
0,1,00182,normal,1317,1,,0.999698,0.000302,L,0.999698,0.999397,0.003963,0.000603,0.074924
0,1,00182,normal,1311,1,,0.997825,0.002175,L,0.997825,0.995651,0.022369,0.004349,0.092940
0,1,00182,normal,1222,1,,1.000000,0.000000,L,1.000000,0.999999,0.000011,0.000001,0.274834
0,1,00182,normal,1225,1,,1.000000,0.000000,L,1.000000,0.999999,0.000006,0.000001,0.515874
0,1,00182,normal,1310,1,,0.999231,0.000769,L,0.999231,0.998463,0.009059,0.001537,0.096875
0,1,00182,normal,1043,1,,0.999195,0.000805,L,0.999195,0.998389,0.009438,0.001611,0.073057
0,1,00182,normal,1224,1,,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.764142
0,1,00182,normal,1131,1,,0.998812,0.001188,L,0.998812,0.997624,0.013258,0.002376,0.088472
0,1,00182,normal,1403,1,,0.998351,0.001649,L,0.998351,0.996701,0.017624,0.003299,0.078895
0,1,00182,normal,1407,1,,0.998660,0.001340,L,0.998660,0.997321,0.014718,0.002679,0.076416
0,1,00182,normal,306,1,,0.999649,0.000351,L,0.999649,0.999297,0.004539,0.000703,0.096294
0,1,00182,normal,1400,1,,0.998211,0.001789,L,0.998211,0.996422,0.018907,0.003578,0.085195
0,1,00182,normal,311,1,,0.999029,0.000971,L,0.999029,0.998058,0.011116,0.001942,0.092455
0,1,00182,normal,396,1,,0.999963,0.000037,L,0.999963,0.999927,0.000593,0.000073,0.239475
0,1,00182,normal,490,1,,1.000000,0.000000,L,1.000000,1.000000,0.000003,0.000000,0.699379
