weather,foreground_group,modality,count,mean_reliability,std_reliability,mean_fg_gate,std_fg_gate
normal,fg,LiDAR,855,0.9988502,0.001260049,0.1997204,0.1980571
normal,fg,4D Radar,855,0.001149849,0.001260048,0.1997204,0.1980571
normal,all,LiDAR,1287,0.9987101,0.00132689,0.1561809,0.1733413
normal,all,4D Radar,1287,0.001289869,0.00132689,0.1561809,0.1733413
normal,bg,LiDAR,432,0.998433,0.001409705,0.07000907,0.02649919
normal,bg,4D Radar,432,0.00156699,0.001409705,0.07000907,0.02649919
overcast,fg,LiDAR,844,0.9990063,0.001122918,0.1912834,0.1978465
overcast,fg,4D Radar,844,0.0009937386,0.001122917,0.1912834,0.1978465
overcast,all,LiDAR,1276,0.9988678,0.001155935,0.1478787,0.1725111
overcast,all,4D Radar,1276,0.001132218,0.001155936,0.1478787,0.1725111
overcast,bg,LiDAR,432,0.9985972,0.001171549,0.06307882,0.02358892
overcast,bg,4D Radar,432,0.001402766,0.001171551,0.06307882,0.02358892
fog,fg,LiDAR,755,0.9989771,0.001513571,0.2470145,0.255362
fog,fg,4D Radar,755,0.00102292,0.001513572,0.2470145,0.255362
fog,all,LiDAR,1187,0.998966,0.001561483,0.1770125,0.2241956
fog,all,4D Radar,1187,0.001033977,0.001561483,0.1770125,0.2241956
fog,bg,LiDAR,432,0.9989467,0.001641684,0.05467116,0.02471845
fog,bg,4D Radar,432,0.001053301,0.001641684,0.05467116,0.02471845
rain,fg,LiDAR,843,0.9988683,0.001493217,0.1973884,0.2047435
rain,fg,4D Radar,843,0.001131737,0.001493219,0.1973884,0.2047435
rain,all,LiDAR,1275,0.9988318,0.001752167,0.1510995,0.1793034
rain,all,4D Radar,1275,0.001168172,0.001752168,0.1510995,0.1793034
rain,bg,LiDAR,432,0.9987607,0.002168497,0.0607719,0.02727544
rain,bg,4D Radar,432,0.001239271,0.002168496,0.0607719,0.02727544
sleet,fg,LiDAR,785,0.9990266,0.001564908,0.219358,0.2339112
sleet,fg,4D Radar,785,0.0009734003,0.001564909,0.219358,0.2339112
sleet,all,LiDAR,1217,0.9990626,0.001414821,0.1622269,0.2036428
sleet,all,4D Radar,1217,0.0009374389,0.00141482,0.1622269,0.2036428
sleet,bg,LiDAR,432,0.9991279,0.001087404,0.05841218,0.02637605
sleet,bg,4D Radar,432,0.0008720926,0.001087398,0.05841218,0.02637605
lightsnow,fg,LiDAR,814,0.9988946,0.00159435,0.2238417,0.2307486
lightsnow,fg,4D Radar,814,0.001105392,0.001594351,0.2238417,0.2307486
lightsnow,all,LiDAR,1246,0.9989274,0.00157968,0.1662834,0.2030236
lightsnow,all,4D Radar,1246,0.001072572,0.00157968,0.1662834,0.2030236
lightsnow,bg,LiDAR,432,0.9989893,0.001549773,0.05782857,0.02351429
lightsnow,bg,4D Radar,432,0.001010729,0.001549773,0.05782857,0.02351429
heavysnow,fg,LiDAR,812,0.998894,0.001326633,0.2161858,0.2364982
heavysnow,fg,4D Radar,812,0.001105986,0.001326634,0.2161858,0.2364982
heavysnow,all,LiDAR,1244,0.9989295,0.001279961,0.1603763,0.2063207
heavysnow,all,4D Radar,1244,0.00107046,0.001279963,0.1603763,0.2063207
heavysnow,bg,LiDAR,432,0.9989963,0.001184401,0.05547522,0.02432593
heavysnow,bg,4D Radar,432,0.001003685,0.001184403,0.05547522,0.02432593
