case,class,condition,asf_paper_table3,strong_conf0.0,delta
r,sed,all,47.3,35.71941431797461,-11.580585682025387
r,sed,normal,40.7,28.05346058651381,-12.646539413486192
r,sed,overcast,58.8,48.34153527791423,-10.458464722085765
r,sed,sleet,45.9,31.6389609848311,-14.261039015168897
r,sed,heavysnow,56.5,48.949740964102716,-7.550259035897284
l,sed,all,73.0,72.0612443840908,-0.9387556159092014
l,sed,normal,73.0,73.68342905531267,0.6834290553126721
l,sed,overcast,86.1,86.5140155394839,0.4140155394839127
l,sed,sleet,64.9,59.773129737452116,-5.1268702625478895
l,sed,heavysnow,54.5,53.17539568329136,-1.324604316708637
c,sed,all,14.8,0.004615150054186806,-14.795384849945814
c,sed,normal,14.9,0.006255975509299568,-14.893744024490701
c,sed,overcast,7.71,0.0012614228196147195,-7.708738577180386
c,sed,sleet,,0.021372267379848223,
c,sed,heavysnow,,0.0014508038011059588,
c_star,sed,all,3.71,0.00467175506490773,-3.7053282449350924
c_star,sed,normal,3.72,0.004186064211064202,-3.715813935788936
c_star,sed,overcast,3.17,0.001918539188063356,-3.1680814608119365
c_star,sed,sleet,,0.006565142180673579,
c_star,sed,heavysnow,,0.002436371873626289,
lr,sed,all,77.3,77.55241918738213,0.25241918738213087
lr,sed,normal,77.7,78.10841291619911,0.40841291619911146
lr,sed,overcast,87.3,87.93164090213139,0.6316409021313945
lr,sed,sleet,74.4,75.82417941100601,1.4241794110060084
lr,sed,heavysnow,65.4,66.17957196414925,0.7795719641492411
cr,sed,all,52.7,39.569860031667375,-13.130139968332628
cr,sed,normal,49.1,32.37189380849026,-16.728106191509738
cr,sed,overcast,62.4,50.69052474647007,-11.70947525352993
cr,sed,sleet,46.0,35.04916044222303,-10.950839557776973
cr,sed,heavysnow,57.2,51.51845095362128,-5.68154904637872
cl,sed,all,76.4,75.4856468738299,-0.9143531261701128
cl,sed,normal,78.3,76.93086732087842,-1.3691326791215772
cl,sed,overcast,86.5,87.29746931134353,0.7974693113435336
cl,sed,sleet,64.2,63.104188953911766,-1.0958110460882367
cl,sed,heavysnow,57.1,56.26014237627884,-0.8398576237211586
clr,sed,all,79.3,78.91473254542827,-0.38526745457173206
clr,sed,normal,78.8,78.20734507334934,-0.5926549266506527
clr,sed,overcast,87.6,87.2794464503788,-0.3205535496211951
clr,sed,sleet,74.2,75.84195012948402,1.641950129484016
clr,sed,heavysnow,65.8,67.16943747940743,1.3694374794074378
c_star_lr,sed,all,77.6,78.86188419138907,1.261884191389072
c_star_lr,sed,normal,78.2,78.13474630136557,-0.06525369863443586
c_star_lr,sed,overcast,87.7,87.24033775840188,-0.4596622415981244
c_star_lr,sed,sleet,74.4,75.8292217306791,1.4292217306790889
c_star_lr,sed,heavysnow,65.4,67.23716947586057,1.8371694758605628
cl_star_r,sed,all,58.9,38.32263289629111,-20.577367103708887
cl_star_r,sed,normal,58.8,30.765845734857457,-28.03415426514254
cl_star_r,sed,overcast,66.6,49.0527652058978,-17.547234794102195
cl_star_r,sed,sleet,52.3,35.90833281195505,-16.39166718804495
cl_star_r,sed,heavysnow,58.2,53.346782029244785,-4.853217970755217
r,bus,all,34.2,27.538193482586838,-6.661806517413165
r,bus,normal,22.9,17.467754042485577,-5.4322459575144215
r,bus,overcast,40.9,36.18019416781991,-4.719805832180086
r,bus,sleet,21.1,10.66703916510902,-10.43296083489098
r,bus,heavysnow,51.2,51.357691742355314,0.15769174235531125
l,bus,all,54.9,52.59774895775633,-2.302251042243668
l,bus,normal,53.7,50.689965405836844,-3.0100345941631588
l,bus,overcast,74.8,74.16712322123462,-0.6328767787653788
l,bus,sleet,69.1,63.452060245854504,-5.64793975414549
l,bus,heavysnow,37.8,41.32381887819871,3.5238188781987105
c,bus,all,9.59,0.023537133299375488,-9.566462866700624
c,bus,normal,9.02,0.13100591478439572,-8.888994085215604
c,bus,overcast,17.2,0.038686696704893594,-17.161313303295106
c,bus,sleet,,0.03041189514886821,
c,bus,heavysnow,,0.012587153887332964,
c_star,bus,all,3.65,0.014235579488151446,-3.6357644205118484
c_star,bus,normal,3.66,0.021707443628141355,-3.6382925563718587
c_star,bus,overcast,0.0,0.0,0.0
c_star,bus,sleet,,0.006475845097785262,
c_star,bus,heavysnow,,0.08473037583973855,
lr,bus,all,59.9,60.36457204629393,0.4645720462939309
lr,bus,normal,52.5,50.218201822887586,-2.281798177112414
lr,bus,overcast,71.6,73.81549970115567,2.2154997011556787
lr,bus,sleet,68.2,67.72969368642246,-0.47030631357753805
lr,bus,heavysnow,68.9,71.07530592018281,2.175305920182808
cr,bus,all,36.2,29.893083818614265,-6.306916181385738
cr,bus,normal,24.4,19.712308159517107,-4.687691840482891
cr,bus,overcast,41.4,34.521765718529366,-6.8782342814706325
cr,bus,sleet,23.4,7.947797229750388,-15.45220277024961
cr,bus,heavysnow,56.5,55.266574599668935,-1.2334254003310647
cl,bus,all,53.0,54.77512890611774,1.775128906117743
cl,bus,normal,49.1,51.45657648671954,2.35657648671954
cl,bus,overcast,60.1,72.06066215444073,11.960662154440733
cl,bus,sleet,72.1,63.80022385997469,-8.299776140025301
cl,bus,heavysnow,39.6,52.210554011246316,12.610554011246315
clr,bus,all,60.4,59.91414478083505,-0.48585521916494656
clr,bus,normal,52.7,51.05683626900507,-1.6431637309949352
clr,bus,overcast,77.4,75.38560632062799,-2.01439367937202
clr,bus,sleet,69.2,66.52585215443303,-2.674147845566978
clr,bus,heavysnow,68.9,72.85147118352258,3.951471183522571
c_star_lr,bus,all,60.1,59.942291961028715,-0.15770803897128616
c_star_lr,bus,normal,52.1,51.31282993053953,-0.7871700694604726
c_star_lr,bus,overcast,72.0,75.02691639180038,3.026916391800384
c_star_lr,bus,sleet,70.9,66.2783810157889,-4.621618984211111
c_star_lr,bus,heavysnow,69.1,72.34388264127115,3.2438826412711563
cl_star_r,bus,all,40.0,31.079408563524225,-8.920591436475775
cl_star_r,bus,normal,31.5,18.161255081097018,-13.338744918902982
cl_star_r,bus,overcast,38.2,22.841661945062842,-15.35833805493716
cl_star_r,bus,sleet,28.9,8.828298562249882,-20.071701437750114
cl_star_r,bus,heavysnow,54.8,66.85510705018017,12.055107050180169
