rank,project,method,experiment,result_kind,split_scope,epoch,checkpoint,bev_0_7,3d_0_7,bev_0_5,3d_0_5,bev_0_3,3d_0_3,mean_available,source_path,comparability_note
1,dec_con_asf,TaskDec MoreOpenGate,exp_260817_000507_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,complete_results,full_conditional,2,,62.22510585911386,22.067578029928576,80.35314420068977,67.79206685242468,88.99886089260256,88.51152651560379,68.32471372506053,/home/hongsheng/dec_con_asf/logs/exp_260817_000507_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_2_total/0.3/complete_results.txt,
2,dec_con_asf,TaskDec Robust,exp_260813_203247_TaskDecControlRobust_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,full_eval_summary,full_or_exported_summary,,,62.63,22.03,88.09,67.5,88.84,88.36,69.575,/home/hongsheng/dec_con_asf/logs/exp_260813_203247_TaskDecControlRobust_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/full_eval_summary.json,
3,dec_con_asf,TaskDec Robust,exp_260812_232650_TaskDecControlRobust_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,complete_results,full_conditional,0,,62.63218901253204,22.03903704773203,88.09529078343822,67.50133716157292,88.83900978912645,88.3550327583966,69.5769827587997,/home/hongsheng/dec_con_asf/logs/exp_260812_232650_TaskDecControlRobust_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_0_total/0.3/complete_results.txt,
4,dec_con_asf,Robust best-subset model0 conf0.3,dec_con_asf,paper_or_compiled_json,,,,62.63218901253204,22.03903704773203,88.09529078343822,67.50133716157292,88.83900978912645,88.3550327583966,69.5769827587997,/home/hongsheng/dec_con_asf/results/v1_best_checkpoint_full_comparison_260813.json,
5,dec_con_asf,TaskDec MoreOpenGate,exp_260817_000340_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,complete_results,full_conditional,0,,62.30087515913397,21.313762672157626,87.77254251995508,67.20184259803186,88.61964661569957,88.08776029892891,69.2160716439845,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_0_total/0.3/complete_results.txt,
6,dec_con_asf,TaskDec Balanced,exp_260810_221300_TaskDecControlBalanced_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,complete_results,full,,,63.39200313499607,19.647517350211327,80.48399601452854,67.44712259119997,80.92657798314836,80.59120185885928,65.41473648882392,/home/hongsheng/dec_con_asf/logs/exp_260810_221300_TaskDecControlBalanced_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/none/0.3/complete_results.txt,
7,dec_con_asf,Balanced final model10 conf0.3,dec_con_asf,paper_or_compiled_json,,,,63.39200313499607,19.647517350211327,80.48399601452854,67.44712259119997,80.92657798314836,80.59120185885928,65.41473648882392,/home/hongsheng/dec_con_asf/results/v1_best_checkpoint_full_comparison_260813.json,
8,dec_con_asf,TaskDec Balanced v1 conf0.3,dec_con_asf,paper_or_compiled_json,,,,63.39200313499607,19.647517350211327,80.48399601452854,67.44712259119997,80.92657798314836,80.59120185885928,65.41473648882392,/home/hongsheng/dec_con_asf/results/v1_task_dec_published_comparison_260812.json,
9,dec_con_asf,TaskDec MoreOpenGate,exp_260813_225556_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,complete_results,full,,,61.759395530750346,19.376958915948308,80.45452214867144,67.76645618703083,89.10255710851837,80.5831446401509,66.50717242184503,/home/hongsheng/dec_con_asf/logs/exp_260813_225556_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/none/0.3/complete_results.txt,
10,dec_con_asf,TaskDec StrongerControl,exp_260813_225557_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,complete_results,full,,,62.97452315099276,22.778343663414,80.45699101321094,67.85519694521007,89.00067025674609,80.52223604195824,67.26466017858868,/home/hongsheng/dec_con_asf/logs/exp_260813_225557_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/none/0.3/complete_results.txt,
