method,condition,cls,metric,iou,gt_objects,has_gt,ap,strong_minus_method
Strong,all,sed,3d,0.7,29613,True,12.308283567481094,0.0
Strong,all,sed,3d,0.5,29613,True,52.141909787425355,0.0
Strong,all,sed,3d,0.3,29613,True,74.58434943531094,0.0
Strong,all,sed,bev,0.7,29613,True,44.25690177529195,0.0
Strong,all,sed,bev,0.5,29613,True,71.26560294241487,0.0
Strong,all,sed,bev,0.3,29613,True,77.3207697820272,0.0
Strong,all,bus,3d,0.7,5843,True,9.915535165457054,0.0
Strong,all,bus,3d,0.5,5843,True,33.9660847108478,0.0
Strong,all,bus,3d,0.3,5843,True,59.24418568817133,0.0
Strong,all,bus,bev,0.7,5843,True,23.12802117047419,0.0
Strong,all,bus,bev,0.5,5843,True,50.59252058686502,0.0
Strong,all,bus,bev,0.3,5843,True,65.13721727861488,0.0
Strong,normal,sed,3d,0.7,15988,True,5.553728758859114,0.0
Strong,normal,sed,3d,0.5,15988,True,49.39058686764639,0.0
Strong,normal,sed,3d,0.3,15988,True,73.51458739880525,0.0
Strong,normal,sed,bev,0.7,15988,True,35.587099240835364,0.0
Strong,normal,sed,bev,0.5,15988,True,70.00539861483695,0.0
Strong,normal,sed,bev,0.3,15988,True,76.1296850263338,0.0
Strong,normal,bus,3d,0.7,2763,True,2.48277242083018,0.0
Strong,normal,bus,3d,0.5,2763,True,23.936136862373502,0.0
Strong,normal,bus,3d,0.3,2763,True,51.630890403287545,0.0
Strong,normal,bus,bev,0.7,2763,True,10.402571686487033,0.0
Strong,normal,bus,bev,0.5,2763,True,35.13510343847124,0.0
Strong,normal,bus,bev,0.3,2763,True,55.525716531272586,0.0
Strong,overcast,sed,3d,0.7,1107,True,8.724316215166606,0.0
Strong,overcast,sed,3d,0.5,1107,True,59.62361869139369,0.0
Strong,overcast,sed,3d,0.3,1107,True,84.30388440437787,0.0
Strong,overcast,sed,bev,0.7,1107,True,45.46403529227293,0.0
Strong,overcast,sed,bev,0.5,1107,True,82.30568257362836,0.0
Strong,overcast,sed,bev,0.3,1107,True,91.38712327057618,0.0
Strong,overcast,bus,3d,0.7,151,True,5.251002001037798,0.0
Strong,overcast,bus,3d,0.5,151,True,49.654868957211995,0.0
Strong,overcast,bus,3d,0.3,151,True,73.82130508299801,0.0
Strong,overcast,bus,bev,0.7,151,True,18.715816703621588,0.0
Strong,overcast,bus,bev,0.5,151,True,62.30515540061342,0.0
Strong,overcast,bus,bev,0.3,151,True,74.02102192981732,0.0
Strong,fog,sed,3d,0.7,1947,True,43.51804264010096,0.0
Strong,fog,sed,3d,0.5,1947,True,80.30148404335333,0.0
Strong,fog,sed,3d,0.3,1947,True,94.45576829875584,0.0
Strong,fog,sed,bev,0.7,1947,True,82.17234585430381,0.0
Strong,fog,sed,bev,0.5,1947,True,94.66788330776384,0.0
Strong,fog,sed,bev,0.3,1947,True,94.83924440755152,0.0
Strong,fog,bus,3d,0.7,0,False,0.0,0.0
Strong,fog,bus,3d,0.5,0,False,0.0,0.0
Strong,fog,bus,3d,0.3,0,False,0.0,0.0
Strong,fog,bus,bev,0.7,0,False,0.0,0.0
Strong,fog,bus,bev,0.5,0,False,0.0,0.0
Strong,fog,bus,bev,0.3,0,False,0.0,0.0
Strong,rain,sed,3d,0.7,5978,True,17.493888348856977,0.0
Strong,rain,sed,3d,0.5,5978,True,48.298848693647464,0.0
Strong,rain,sed,3d,0.3,5978,True,68.10965295372804,0.0
Strong,rain,sed,bev,0.7,5978,True,44.90001944102435,0.0
Strong,rain,sed,bev,0.5,5978,True,64.0555777774779,0.0
Strong,rain,sed,bev,0.3,5978,True,68.84273100082373,0.0
Strong,rain,bus,3d,0.7,120,True,0.9004300467715103,0.0
Strong,rain,bus,3d,0.5,120,True,5.051640209024325,0.0
Strong,rain,bus,3d,0.3,120,True,10.083134717177533,0.0
Strong,rain,bus,bev,0.7,120,True,3.6512507372584393,0.0
Strong,rain,bus,bev,0.5,120,True,8.356283824685358,0.0
Strong,rain,bus,bev,0.3,120,True,10.083134717177533,0.0
Strong,sleet,sed,3d,0.7,1622,True,7.320596264524121,0.0
Strong,sleet,sed,3d,0.5,1622,True,49.12897807261431,0.0
Strong,sleet,sed,3d,0.3,1622,True,72.51657044466288,0.0
Strong,sleet,sed,bev,0.7,1622,True,42.012900576850434,0.0
Strong,sleet,sed,bev,0.5,1622,True,63.84629266975349,0.0
Strong,sleet,sed,bev,0.3,1622,True,75.60991797975673,0.0
Strong,sleet,bus,3d,0.7,1132,True,9.336519378624955,0.0
Strong,sleet,bus,3d,0.5,1132,True,38.47873609677131,0.0
Strong,sleet,bus,3d,0.3,1132,True,57.4718623927167,0.0
Strong,sleet,bus,bev,0.7,1132,True,22.6760757063882,0.0
Strong,sleet,bus,bev,0.5,1132,True,48.31430227803312,0.0
Strong,sleet,bus,bev,0.3,1132,True,58.07812181919184,0.0
Strong,lightsnow,sed,3d,0.7,1360,True,10.666389876541478,0.0
Strong,lightsnow,sed,3d,0.5,1360,True,60.7450227634318,0.0
Strong,lightsnow,sed,3d,0.3,1360,True,89.55544896711352,0.0
Strong,lightsnow,sed,bev,0.7,1360,True,67.43740771819881,0.0
Strong,lightsnow,sed,bev,0.5,1360,True,87.46913846232847,0.0
Strong,lightsnow,sed,bev,0.3,1360,True,90.13030216540857,0.0
Strong,lightsnow,bus,3d,0.7,540,True,48.47579336661988,0.0
Strong,lightsnow,bus,3d,0.5,540,True,75.09186027851328,0.0
Strong,lightsnow,bus,3d,0.3,540,True,89.56350131502805,0.0
Strong,lightsnow,bus,bev,0.7,540,True,74.19409925632915,0.0
Strong,lightsnow,bus,bev,0.5,540,True,89.13724914739298,0.0
Strong,lightsnow,bus,bev,0.3,540,True,94.64121254882689,0.0
Strong,heavysnow,sed,3d,0.7,1611,True,18.18523248704392,0.0
Strong,heavysnow,sed,3d,0.5,1611,True,50.48532396870704,0.0
Strong,heavysnow,sed,3d,0.3,1611,True,63.573542852068464,0.0
Strong,heavysnow,sed,bev,0.7,1611,True,43.24680476470426,0.0
Strong,heavysnow,sed,bev,0.5,1611,True,61.33387520169754,0.0
Strong,heavysnow,sed,bev,0.3,1611,True,65.87382823123504,0.0
Strong,heavysnow,bus,3d,0.7,1137,True,13.94172379466292,0.0
Strong,heavysnow,bus,3d,0.5,1137,True,39.36839489426447,0.0
Strong,heavysnow,bus,3d,0.3,1137,True,72.34123850166718,0.0
Strong,heavysnow,bus,bev,0.7,1137,True,36.92555024985116,0.0
Strong,heavysnow,bus,bev,0.5,1137,True,78.96456092133096,0.0
Strong,heavysnow,bus,bev,0.3,1137,True,89.50402222660298,0.0
Strong,day,sed,3d,0.7,19961,True,12.468997048791609,0.0
Strong,day,sed,3d,0.5,19961,True,54.70953478879631,0.0
Strong,day,sed,3d,0.3,19961,True,76.74069078545422,0.0
Strong,day,sed,bev,0.7,19961,True,44.588677837914155,0.0
Strong,day,sed,bev,0.5,19961,True,73.64132644713531,0.0
Strong,day,sed,bev,0.3,19961,True,79.31169149599458,0.0
Strong,day,bus,3d,0.7,3603,True,4.621357705285217,0.0
Strong,day,bus,3d,0.5,3603,True,26.79560335804865,0.0
Strong,day,bus,3d,0.3,3603,True,53.673969965481994,0.0
Strong,day,bus,bev,0.7,3603,True,15.57784626999118,0.0
Strong,day,bus,bev,0.5,3603,True,41.82002169309907,0.0
Strong,day,bus,bev,0.3,3603,True,56.9836883566341,0.0
Strong,night,sed,3d,0.7,9652,True,12.17135722782504,0.0
Strong,night,sed,3d,0.5,9652,True,46.91352410055849,0.0
Strong,night,sed,3d,0.3,9652,True,70.27500089860274,0.0
Strong,night,sed,bev,0.7,9652,True,42.25791060345405,0.0
Strong,night,sed,bev,0.5,9652,True,66.46646617474936,0.0
