variant,checkpoint,epoch,split,metric,value
concat,best,75,val,V2X/Vehicle_3D_easy_strict,87.32916115810329
concat,best,75,val,V2X/Vehicle_BEV_easy_strict,93.24954730190915
concat,best,75,val,V2X/Vehicle_3D_moderate_strict,81.5399981979501
concat,best,75,val,V2X/Vehicle_BEV_moderate_strict,90.76312680292631
concat,best,75,val,V2X/Vehicle_3D_hard_strict,80.36305792328686
concat,best,75,val,V2X/Vehicle_BEV_hard_strict,89.42905681215962
concat,best,75,val,V2X/Vehicle_3D_easy_loose,94.30273295651149
concat,best,75,val,V2X/Vehicle_BEV_easy_loose,95.68505681193024
concat,best,75,val,V2X/Vehicle_3D_moderate_loose,93.56394184435389
concat,best,75,val,V2X/Vehicle_BEV_moderate_loose,94.58982957640453
concat,best,75,val,V2X/Vehicle_3D_hard_loose,93.14940076158707
concat,best,75,val,V2X/Vehicle_BEV_hard_loose,93.59528701718261
concat,best,75,val,V2X/Pedestrian_3D_easy_strict,64.32131457773684
concat,best,75,val,V2X/Pedestrian_BEV_easy_strict,67.80940583401687
concat,best,75,val,V2X/Pedestrian_3D_moderate_strict,62.16792720073045
concat,best,75,val,V2X/Pedestrian_BEV_moderate_strict,66.37105052979835
concat,best,75,val,V2X/Pedestrian_3D_hard_strict,61.97347579177328
concat,best,75,val,V2X/Pedestrian_BEV_hard_strict,66.3112200890462
concat,best,75,val,V2X/Pedestrian_3D_easy_loose,81.17112123190023
concat,best,75,val,V2X/Pedestrian_BEV_easy_loose,81.5434867250499
concat,best,75,val,V2X/Pedestrian_3D_moderate_loose,78.77204149217722
concat,best,75,val,V2X/Pedestrian_BEV_moderate_loose,79.15862443809758
concat,best,75,val,V2X/Pedestrian_3D_hard_loose,78.60524155848064
concat,best,75,val,V2X/Pedestrian_BEV_hard_loose,78.9975088026969
concat,best,75,val,V2X/Cyclist_3D_easy_strict,81.93910714609454
concat,best,75,val,V2X/Cyclist_BEV_easy_strict,83.82058433944692
concat,best,75,val,V2X/Cyclist_3D_moderate_strict,79.36786505405887
concat,best,75,val,V2X/Cyclist_BEV_moderate_strict,82.32079710743777
concat,best,75,val,V2X/Cyclist_3D_hard_strict,79.28404251865284
concat,best,75,val,V2X/Cyclist_BEV_hard_strict,82.35448348625631
concat,best,75,val,V2X/Cyclist_3D_easy_loose,90.12770256906005
concat,best,75,val,V2X/Cyclist_BEV_easy_loose,90.24880345328349
concat,best,75,val,V2X/Cyclist_3D_moderate_loose,88.74527456335116
concat,best,75,val,V2X/Cyclist_BEV_moderate_loose,88.93477279438898
concat,best,75,val,V2X/Cyclist_3D_hard_loose,88.84342549038303
concat,best,75,val,V2X/Cyclist_BEV_hard_loose,88.98879163094729
concat,best,75,val,V2X/Overall_3D_easy,77.86319429397822
concat,best,75,val,V2X/Overall_BEV_easy,81.62651249179098
concat,best,75,val,V2X/Overall_3D_moderate,74.3585968175798
concat,best,75,val,V2X/Overall_BEV_moderate,79.81832481338749
concat,best,75,val,V2X/Overall_3D_hard,73.87352541123767
concat,best,75,val,V2X/Overall_BEV_hard,79.36492012915404
concat,best,75,val_deduplicated,V2X/Vehicle_3D_easy_strict,87.3168018059451
concat,best,75,val_deduplicated,V2X/Vehicle_BEV_easy_strict,93.23924120935096
concat,best,75,val_deduplicated,V2X/Vehicle_3D_moderate_strict,81.53401343836235
concat,best,75,val_deduplicated,V2X/Vehicle_BEV_moderate_strict,90.73328694662715
concat,best,75,val_deduplicated,V2X/Vehicle_3D_hard_strict,80.23806526434561
concat,best,75,val_deduplicated,V2X/Vehicle_BEV_hard_strict,89.01350678034326
concat,best,75,val_deduplicated,V2X/Vehicle_3D_easy_loose,94.19051908719149
concat,best,75,val_deduplicated,V2X/Vehicle_BEV_easy_loose,95.59829990885838
concat,best,75,val_deduplicated,V2X/Vehicle_3D_moderate_loose,93.54956434498438
concat,best,75,val_deduplicated,V2X/Vehicle_BEV_moderate_loose,94.53871469091938
concat,best,75,val_deduplicated,V2X/Vehicle_3D_hard_loose,93.12415288748358
concat,best,75,val_deduplicated,V2X/Vehicle_BEV_hard_loose,93.577216386369
concat,best,75,val_deduplicated,V2X/Pedestrian_3D_easy_strict,64.28999848983818
concat,best,75,val_deduplicated,V2X/Pedestrian_BEV_easy_strict,67.78973929330253
concat,best,75,val_deduplicated,V2X/Pedestrian_3D_moderate_strict,62.026176760886706
concat,best,75,val_deduplicated,V2X/Pedestrian_BEV_moderate_strict,66.26587499261231
concat,best,75,val_deduplicated,V2X/Pedestrian_3D_hard_strict,61.87713273079187
concat,best,75,val_deduplicated,V2X/Pedestrian_BEV_hard_strict,66.18127397592038
concat,best,75,val_deduplicated,V2X/Pedestrian_3D_easy_loose,81.21314928576464
concat,best,75,val_deduplicated,V2X/Pedestrian_BEV_easy_loose,81.5580060911546
concat,best,75,val_deduplicated,V2X/Pedestrian_3D_moderate_loose,78.72978015232775
concat,best,75,val_deduplicated,V2X/Pedestrian_BEV_moderate_loose,79.1285871120461
concat,best,75,val_deduplicated,V2X/Pedestrian_3D_hard_loose,78.55432428782368
concat,best,75,val_deduplicated,V2X/Pedestrian_BEV_hard_loose,78.9294827929257
concat,best,75,val_deduplicated,V2X/Cyclist_3D_easy_strict,81.95230635929553
concat,best,75,val_deduplicated,V2X/Cyclist_BEV_easy_strict,83.82400323531812
concat,best,75,val_deduplicated,V2X/Cyclist_3D_moderate_strict,79.35568738127022
concat,best,75,val_deduplicated,V2X/Cyclist_BEV_moderate_strict,82.30801673182964
concat,best,75,val_deduplicated,V2X/Cyclist_3D_hard_strict,79.25835623181827
concat,best,75,val_deduplicated,V2X/Cyclist_BEV_hard_strict,82.32808139070146
concat,best,75,val_deduplicated,V2X/Cyclist_3D_easy_loose,90.1339599493791
concat,best,75,val_deduplicated,V2X/Cyclist_BEV_easy_loose,90.25526489412374
concat,best,75,val_deduplicated,V2X/Cyclist_3D_moderate_loose,88.74182091393038
concat,best,75,val_deduplicated,V2X/Cyclist_BEV_moderate_loose,88.944109684811
concat,best,75,val_deduplicated,V2X/Cyclist_3D_hard_loose,88.76978669924169
concat,best,75,val_deduplicated,V2X/Cyclist_BEV_hard_loose,88.96552392323912
concat,best,75,val_deduplicated,V2X/Overall_3D_easy,77.85303555169294
concat,best,75,val_deduplicated,V2X/Overall_BEV_easy,81.61766124599053
concat,best,75,val_deduplicated,V2X/Overall_3D_moderate,74.30529252683976
concat,best,75,val_deduplicated,V2X/Overall_BEV_moderate,79.76905955702303
concat,best,75,val_deduplicated,V2X/Overall_3D_hard,73.79118474231858
