condition,class,metric,iou,asf_ap,decstrong_ap,delta_pp
all,sed,3D,0.3,74.97794695657676,74.58434943531094,-0.3935975212658178
all,sed,3D,0.5,52.09162529168767,52.141909787425355,0.05028449573768512
all,sed,3D,0.7,11.854227787775777,12.308283567481094,0.4540557797053175
all,sed,BEV,0.3,77.84756800138433,77.3207697820272,-0.5267982193571328
all,sed,BEV,0.5,71.70175872066424,71.26560294241487,-0.4361557782493719
all,sed,BEV,0.7,43.2084463511566,44.25690177529195,1.0484554241353479
all,bus,3D,0.3,58.12835520133631,59.24418568817133,1.1158304868350157
all,bus,3D,0.5,31.055836725253055,33.9660847108478,2.910247985594747
all,bus,3D,0.7,7.93057570170773,9.915535165457054,1.9849594637493242
all,bus,BEV,0.3,67.85341563441995,65.13721727861488,-2.716198355805062
all,bus,BEV,0.5,53.20653519852178,50.59252058686502,-2.6140146116567564
all,bus,BEV,0.7,20.853579642957946,23.12802117047419,2.2744415275162453
normal,sed,3D,0.3,74.13846385475061,73.51458739880525,-0.6238764559453642
normal,sed,3D,0.5,49.62937192191424,49.39058686764639,-0.23878505426785068
normal,sed,3D,0.7,7.41858471823177,5.553728758859114,-1.8648559593726564
normal,sed,BEV,0.3,76.93696403582551,76.1296850263338,-0.8072790094917082
normal,sed,BEV,0.5,70.65476501087757,70.00539861483695,-0.6493663960406195
normal,sed,BEV,0.7,36.37259408289393,35.587099240835364,-0.7854948420585686
normal,bus,3D,0.3,53.28396691757169,51.630890403287545,-1.6530765142841446
normal,bus,3D,0.5,23.932995588579942,23.936136862373502,0.0031412737935596624
normal,bus,3D,0.7,5.728362594412192,2.48277242083018,-3.2455901735820123
normal,bus,BEV,0.3,57.35129446247801,55.525716531272586,-1.825577931205423
normal,bus,BEV,0.5,36.91333613194176,35.13510343847124,-1.778232693470521
normal,bus,BEV,0.7,11.30274464241066,10.402571686487033,-0.9001729559236278
overcast,sed,3D,0.3,82.35468228208515,84.30388440437787,1.9492021222927178
overcast,sed,3D,0.5,53.37664815403531,59.62361869139369,6.246970537358379
overcast,sed,3D,0.7,6.298901277641798,8.724316215166606,2.425414937524808
overcast,sed,BEV,0.3,89.36570822189952,91.38712327057618,2.0214150486766584
overcast,sed,BEV,0.5,81.98155331823098,82.30568257362836,0.3241292553973807
overcast,sed,BEV,0.7,46.16740589274425,45.46403529227293,-0.7033706004713167
overcast,bus,3D,0.3,75.32582793213054,73.82130508299801,-1.5045228491325275
overcast,bus,3D,0.5,47.04012126011879,49.654868957211995,2.6147476970932075
overcast,bus,3D,0.7,8.177121394765297,5.251002001037798,-2.9261193937274994
overcast,bus,BEV,0.3,81.67069508532919,74.02102192981732,-7.649673155511863
overcast,bus,BEV,0.5,54.739976399475886,62.30515540061342,7.565179001137537
overcast,bus,BEV,0.7,21.953597635504902,18.715816703621588,-3.2377809318833144
fog,sed,3D,0.3,92.25503949710469,94.45576829875584,2.2007288016511524
fog,sed,3D,0.5,80.54989713755023,80.30148404335333,-0.2484130941969056
fog,sed,3D,0.7,38.988782336889166,43.51804264010096,4.529260303211792
fog,sed,BEV,0.3,94.91345109202213,94.83924440755152,-0.07420668447061018
fog,sed,BEV,0.5,94.78265074487796,94.66788330776384,-0.11476743711411075
fog,sed,BEV,0.7,79.65763412163979,82.17234585430381,2.5147117326640256
fog,bus,3D,0.3,0.0,0.0,0.0
fog,bus,3D,0.5,0.0,0.0,0.0
fog,bus,3D,0.7,0.0,0.0,0.0
fog,bus,BEV,0.3,0.0,0.0,0.0
fog,bus,BEV,0.5,0.0,0.0,0.0
fog,bus,BEV,0.7,0.0,0.0,0.0
rain,sed,3D,0.3,66.3666834828411,68.10965295372804,1.7429694708869476
rain,sed,3D,0.5,46.85401943672793,48.298848693647464,1.4448292569195331
rain,sed,3D,0.7,17.18058831482299,17.493888348856977,0.3133000340339862
rain,sed,BEV,0.3,69.15170618976515,68.84273100082373,-0.3089751889414174
rain,sed,BEV,0.5,62.269378265348685,64.0555777774779,1.7861995121292082
rain,sed,BEV,0.7,43.52263057534297,44.90001944102435,1.3773888656813753
rain,bus,3D,0.3,7.893203954541796,10.083134717177533,2.189930762635737
rain,bus,3D,0.5,2.4840301974448318,5.051640209024325,2.567610011579493
rain,bus,3D,0.7,0.0,0.9004300467715103,0.9004300467715103
rain,bus,BEV,0.3,7.893203954541796,10.083134717177533,2.189930762635737
rain,bus,BEV,0.5,7.893203954541796,8.356283824685358,0.4630798701435621
rain,bus,BEV,0.7,0.7998099461514095,3.6512507372584393,2.85144079110703
sleet,sed,3D,0.3,70.42968503556456,72.51657044466288,2.086885409098315
sleet,sed,3D,0.5,44.04536377990363,49.12897807261431,5.083614292710678
sleet,sed,3D,0.7,8.332399706694844,7.320596264524121,-1.0118034421707227
sleet,sed,BEV,0.3,74.00247266003682,75.60991797975673,1.6074453197199148
sleet,sed,BEV,0.5,64.29971942503285,63.84629266975349,-0.4534267552793594
sleet,sed,BEV,0.7,40.477166488231234,42.012900576850434,1.5357340886192006
sleet,bus,3D,0.3,59.549548818902096,57.4718623927167,-2.0776864261853945
sleet,bus,3D,0.5,38.831956170888624,38.47873609677131,-0.35322007411731704
sleet,bus,3D,0.7,8.738664961928992,9.336519378624955,0.597854416695963
sleet,bus,BEV,0.3,60.54280667676293,58.07812181919184,-2.4646848575710862
sleet,bus,BEV,0.5,50.64507343794078,48.31430227803312,-2.3307711599076626
sleet,bus,BEV,0.7,22.174883595120217,22.6760757063882,0.5011921112679829
lightsnow,sed,3D,0.3,88.23847406405349,89.55544896711352,1.3169749030600286
lightsnow,sed,3D,0.5,59.251436881905306,60.7450227634318,1.4935858815264922
lightsnow,sed,3D,0.7,10.848713360826416,10.666389876541478,-0.18232348428493772
lightsnow,sed,BEV,0.3,90.85357079684266,90.13030216540857,-0.7232686314340953
