condition,cls,metric,iou,gt_objects,has_gt,l4dr_local_aligned,asf_official_archive,strong_rescored,strong_minus_l4dr,strong_minus_asf,local_gt_exact_match_l4dr_strong,asf_frame_gt_reverified
all,sed,3D,0.3,29613,True,76.7941465297632,74.97794695657676,74.58434943531094,-2.209797094452256,-0.3935975212658178,True,False
all,sed,3D,0.5,29613,True,54.68228528949126,52.09162529168767,52.141909787425355,-2.5403755020659062,0.05028449573768512,True,False
all,sed,3D,0.7,29613,True,11.230749999089644,11.854227787775777,12.308283567481094,1.0775335683914502,0.4540557797053175,True,False
all,sed,BEV,0.3,29613,True,79.89624660275196,77.84756800138433,77.3207697820272,-2.5754768207247594,-0.5267982193571328,True,False
all,sed,BEV,0.5,29613,True,73.60883045917609,71.70175872066424,71.26560294241487,-2.3432275167612175,-0.4361557782493719,True,False
all,sed,BEV,0.7,29613,True,49.1646970885633,43.2084463511566,44.25690177529195,-4.90779531327135,1.0484554241353479,True,False
all,bus,3D,0.3,5843,True,62.17308516422231,58.12835520133631,59.24418568817133,-2.9288994760509794,1.1158304868350157,True,False
all,bus,3D,0.5,5843,True,41.77797063443804,31.055836725253055,33.9660847108478,-7.811885923590239,2.910247985594747,True,False
all,bus,3D,0.7,5843,True,10.491341426590552,7.93057570170773,9.915535165457054,-0.5758062611334971,1.9849594637493242,True,False
all,bus,BEV,0.3,5843,True,67.12447279552708,67.85341563441995,65.13721727861488,-1.9872555169121995,-2.716198355805062,True,False
all,bus,BEV,0.5,5843,True,56.8599119916367,53.20653519852178,50.59252058686502,-6.267391404771679,-2.6140146116567564,True,False
all,bus,BEV,0.7,5843,True,29.647555081182364,20.853579642957946,23.12802117047419,-6.519533910708173,2.2744415275162453,True,False
normal,sed,3D,0.3,15988,True,75.5165789943824,74.13846385475061,73.51458739880525,-2.0019915955771523,-0.6238764559453642,True,False
normal,sed,3D,0.5,15988,True,50.21303711447865,49.62937192191424,49.39058686764639,-0.8224502468322612,-0.23878505426785068,True,False
