condition,class,metric,iou,asf_ap,decstrong_ap,delta_pp,has_gt
all,sed,3D,0.3,74.97794695657676,74.58434943531094,-0.3935975212658178,True
normal,sed,3D,0.3,74.13846385475061,73.51458739880525,-0.6238764559453642,True
lightsnow,sed,3D,0.3,88.23847406405349,89.55544896711352,1.3169749030600286,True
heavysnow,sed,3D,0.3,63.60797021105265,63.573542852068464,-0.03442735898418903,True
rain,sed,3D,0.3,66.3666834828411,68.10965295372804,1.7429694708869476,True
sleet,sed,3D,0.3,70.42968503556456,72.51657044466288,2.086885409098315,True
overcast,sed,3D,0.3,82.35468228208515,84.30388440437787,1.9492021222927178,True
fog,sed,3D,0.3,92.25503949710469,94.45576829875584,2.2007288016511524,True
all,bus,3D,0.3,58.12835520133631,59.24418568817133,1.1158304868350157,True
normal,bus,3D,0.3,53.28396691757169,51.630890403287545,-1.6530765142841446,True
lightsnow,bus,3D,0.3,88.25935219842833,89.56350131502805,1.3041491165997172,True
heavysnow,bus,3D,0.3,68.20418622088357,72.34123850166718,4.137052280783607,True
rain,bus,3D,0.3,7.893203954541796,10.083134717177533,2.189930762635737,True
sleet,bus,3D,0.3,59.549548818902096,57.4718623927167,-2.0776864261853945,True
overcast,bus,3D,0.3,75.32582793213054,73.82130508299801,-1.5045228491325275,True
fog,bus,3D,0.3,0.0,0.0,0.0,False
all,sed,3D,0.5,52.09162529168767,52.141909787425355,0.05028449573768512,True
normal,sed,3D,0.5,49.62937192191424,49.39058686764639,-0.23878505426785068,True
lightsnow,sed,3D,0.5,59.251436881905306,60.7450227634318,1.4935858815264922,True
heavysnow,sed,3D,0.5,49.52424782762442,50.48532396870704,0.9610761410826214,True
rain,sed,3D,0.5,46.85401943672793,48.298848693647464,1.4448292569195331,True
sleet,sed,3D,0.5,44.04536377990363,49.12897807261431,5.083614292710678,True
overcast,sed,3D,0.5,53.37664815403531,59.62361869139369,6.246970537358379,True
fog,sed,3D,0.5,80.54989713755023,80.30148404335333,-0.2484130941969056,True
all,bus,3D,0.5,31.055836725253055,33.9660847108478,2.910247985594747,True
normal,bus,3D,0.5,23.932995588579942,23.936136862373502,0.0031412737935596624,True
lightsnow,bus,3D,0.5,70.81127016589451,75.09186027851328,4.280590112618768,True
heavysnow,bus,3D,0.5,32.550531908424915,39.36839489426447,6.817862985839554,True
rain,bus,3D,0.5,2.4840301974448318,5.051640209024325,2.567610011579493,True
sleet,bus,3D,0.5,38.831956170888624,38.47873609677131,-0.35322007411731704,True
overcast,bus,3D,0.5,47.04012126011879,49.654868957211995,2.6147476970932075,True
fog,bus,3D,0.5,0.0,0.0,0.0,False
