run,condition,class,metric,iou,ap,asf_ap,delta_pp
ASF official RLC,all,sed,3D,0.3,74.97794695657676,74.97794695657676,0.0
ASF official RLC,all,sed,3D,0.5,52.09162529168767,52.09162529168767,0.0
ASF official RLC,all,sed,3D,0.7,11.854227787775777,11.854227787775777,0.0
ASF official RLC,all,sed,BEV,0.3,77.84756800138433,77.84756800138433,0.0
ASF official RLC,all,sed,BEV,0.5,71.70175872066424,71.70175872066424,0.0
ASF official RLC,all,sed,BEV,0.7,43.2084463511566,43.2084463511566,0.0
ASF official RLC,all,bus,3D,0.3,58.12835520133631,58.12835520133631,0.0
ASF official RLC,all,bus,3D,0.5,31.055836725253055,31.055836725253055,0.0
ASF official RLC,all,bus,3D,0.7,7.93057570170773,7.93057570170773,0.0
ASF official RLC,all,bus,BEV,0.3,67.85341563441995,67.85341563441995,0.0
ASF official RLC,all,bus,BEV,0.5,53.20653519852178,53.20653519852178,0.0
ASF official RLC,all,bus,BEV,0.7,20.853579642957946,20.853579642957946,0.0
ASF official RLC,urban,sed,3D,0.3,78.21530346687796,78.21530346687796,0.0
ASF official RLC,urban,sed,3D,0.5,57.069269146190074,57.069269146190074,0.0
ASF official RLC,urban,sed,3D,0.7,14.436119359295468,14.436119359295468,0.0
ASF official RLC,urban,sed,BEV,0.3,81.14274190212569,81.14274190212569,0.0
ASF official RLC,urban,sed,BEV,0.5,74.76960621471763,74.76960621471763,0.0
ASF official RLC,urban,sed,BEV,0.7,50.836694047562126,50.836694047562126,0.0
ASF official RLC,urban,bus,3D,0.3,86.24622015391492,86.24622015391492,0.0
ASF official RLC,urban,bus,3D,0.5,45.14661479140337,45.14661479140337,0.0
ASF official RLC,urban,bus,3D,0.7,13.19080014789471,13.19080014789471,0.0
ASF official RLC,urban,bus,BEV,0.3,88.53903758982509,88.53903758982509,0.0
ASF official RLC,urban,bus,BEV,0.5,82.30261788411943,82.30261788411943,0.0
ASF official RLC,urban,bus,BEV,0.7,38.80794482057661,38.80794482057661,0.0
ASF official RLC,highway,sed,3D,0.3,81.45046674612678,81.45046674612678,0.0
ASF official RLC,highway,sed,3D,0.5,55.73026706875257,55.73026706875257,0.0
ASF official RLC,highway,sed,3D,0.7,6.244769341412074,6.244769341412074,0.0
ASF official RLC,highway,sed,BEV,0.3,84.34393180859784,84.34393180859784,0.0
ASF official RLC,highway,sed,BEV,0.5,78.05297775458348,78.05297775458348,0.0
ASF official RLC,highway,sed,BEV,0.7,41.99861999751438,41.99861999751438,0.0
ASF official RLC,highway,bus,3D,0.3,56.79300374524857,56.79300374524857,0.0
ASF official RLC,highway,bus,3D,0.5,29.334711576873406,29.334711576873406,0.0
ASF official RLC,highway,bus,3D,0.7,8.114078627460296,8.114078627460296,0.0
ASF official RLC,highway,bus,BEV,0.3,68.39847864916388,68.39847864916388,0.0
ASF official RLC,highway,bus,BEV,0.5,51.451891907410385,51.451891907410385,0.0
ASF official RLC,highway,bus,BEV,0.7,18.690332636240395,18.690332636240395,0.0
ASF official RLC,countryside,sed,3D,0.3,65.56484751745663,65.56484751745663,0.0
ASF official RLC,countryside,sed,3D,0.5,43.50148816290062,43.50148816290062,0.0
ASF official RLC,countryside,sed,3D,0.7,6.530115388438913,6.530115388438913,0.0
ASF official RLC,countryside,sed,BEV,0.3,69.847527648194,69.847527648194,0.0
ASF official RLC,countryside,sed,BEV,0.5,60.368185366711856,60.368185366711856,0.0
