method,condition,cls,metric,iou,ap
Strong (existing),all,sed,3d,0.3,74.58434943531094
Strong (existing),all,sed,3d,0.5,52.141909787425355
Strong (existing),all,sed,3d,0.7,12.308283567481094
Strong (existing),all,sed,bev,0.3,77.3207697820272
Strong (existing),all,sed,bev,0.5,71.26560294241487
Strong (existing),all,sed,bev,0.7,44.25690177529195
Strong (existing),all,bus,3d,0.3,59.24418568817133
Strong (existing),all,bus,3d,0.5,33.9660847108478
Strong (existing),all,bus,3d,0.7,9.915535165457054
Strong (existing),all,bus,bev,0.3,65.13721727861488
Strong (existing),all,bus,bev,0.5,50.59252058686502
Strong (existing),all,bus,bev,0.7,23.12802117047419
Strong (existing),normal,sed,3d,0.3,73.51458739880525
Strong (existing),normal,sed,3d,0.5,49.39058686764639
Strong (existing),normal,sed,3d,0.7,5.553728758859114
Strong (existing),normal,sed,bev,0.3,76.1296850263338
Strong (existing),normal,sed,bev,0.5,70.00539861483695
Strong (existing),normal,sed,bev,0.7,35.587099240835364
Strong (existing),normal,bus,3d,0.3,51.630890403287545
Strong (existing),normal,bus,3d,0.5,23.936136862373502
Strong (existing),normal,bus,3d,0.7,2.48277242083018
Strong (existing),normal,bus,bev,0.3,55.525716531272586
Strong (existing),normal,bus,bev,0.5,35.13510343847124
Strong (existing),normal,bus,bev,0.7,10.402571686487033
Strong (existing),lightsnow,sed,3d,0.3,89.55544896711352
Strong (existing),lightsnow,sed,3d,0.5,60.7450227634318
Strong (existing),lightsnow,sed,3d,0.7,10.666389876541478
Strong (existing),lightsnow,sed,bev,0.3,90.13030216540857
Strong (existing),lightsnow,sed,bev,0.5,87.46913846232847
Strong (existing),lightsnow,sed,bev,0.7,67.43740771819881
Strong (existing),lightsnow,bus,3d,0.3,89.56350131502805
Strong (existing),lightsnow,bus,3d,0.5,75.09186027851328
Strong (existing),lightsnow,bus,3d,0.7,48.47579336661988
Strong (existing),lightsnow,bus,bev,0.3,94.64121254882689
Strong (existing),lightsnow,bus,bev,0.5,89.13724914739298
Strong (existing),lightsnow,bus,bev,0.7,74.19409925632915
Strong (existing),heavysnow,sed,3d,0.3,63.573542852068464
Strong (existing),heavysnow,sed,3d,0.5,50.48532396870704
Strong (existing),heavysnow,sed,3d,0.7,18.18523248704392
Strong (existing),heavysnow,sed,bev,0.3,65.87382823123504
Strong (existing),heavysnow,sed,bev,0.5,61.33387520169754
Strong (existing),heavysnow,sed,bev,0.7,43.24680476470426
Strong (existing),heavysnow,bus,3d,0.3,72.34123850166718
Strong (existing),heavysnow,bus,3d,0.5,39.36839489426447
Strong (existing),heavysnow,bus,3d,0.7,13.94172379466292
Strong (existing),heavysnow,bus,bev,0.3,89.50402222660298
Strong (existing),heavysnow,bus,bev,0.5,78.96456092133096
Strong (existing),heavysnow,bus,bev,0.7,36.92555024985116
Strong (existing),rain,sed,3d,0.3,68.10965295372804
Strong (existing),rain,sed,3d,0.5,48.298848693647464
Strong (existing),rain,sed,3d,0.7,17.493888348856977
Strong (existing),rain,sed,bev,0.3,68.84273100082373
Strong (existing),rain,sed,bev,0.5,64.0555777774779
Strong (existing),rain,sed,bev,0.7,44.90001944102435
Strong (existing),rain,bus,3d,0.3,10.083134717177533
Strong (existing),rain,bus,3d,0.5,5.051640209024325
Strong (existing),rain,bus,3d,0.7,0.9004300467715103
Strong (existing),rain,bus,bev,0.3,10.083134717177533
Strong (existing),rain,bus,bev,0.5,8.356283824685358
Strong (existing),rain,bus,bev,0.7,3.6512507372584393
Strong (existing),sleet,sed,3d,0.3,72.51657044466288
Strong (existing),sleet,sed,3d,0.5,49.12897807261431
Strong (existing),sleet,sed,3d,0.7,7.320596264524121
Strong (existing),sleet,sed,bev,0.3,75.60991797975673
Strong (existing),sleet,sed,bev,0.5,63.84629266975349
Strong (existing),sleet,sed,bev,0.7,42.012900576850434
Strong (existing),sleet,bus,3d,0.3,57.4718623927167
Strong (existing),sleet,bus,3d,0.5,38.47873609677131
Strong (existing),sleet,bus,3d,0.7,9.336519378624955
Strong (existing),sleet,bus,bev,0.3,58.07812181919184
Strong (existing),sleet,bus,bev,0.5,48.31430227803312
Strong (existing),sleet,bus,bev,0.7,22.6760757063882
Strong (existing),overcast,sed,3d,0.3,84.30388440437787
Strong (existing),overcast,sed,3d,0.5,59.62361869139369
Strong (existing),overcast,sed,3d,0.7,8.724316215166606
Strong (existing),overcast,sed,bev,0.3,91.38712327057618
Strong (existing),overcast,sed,bev,0.5,82.30568257362836
Strong (existing),overcast,sed,bev,0.7,45.46403529227293
Strong (existing),overcast,bus,3d,0.3,73.82130508299801
Strong (existing),overcast,bus,3d,0.5,49.654868957211995
Strong (existing),overcast,bus,3d,0.7,5.251002001037798
Strong (existing),overcast,bus,bev,0.3,74.02102192981732
Strong (existing),overcast,bus,bev,0.5,62.30515540061342
Strong (existing),overcast,bus,bev,0.7,18.715816703621588
Strong (existing),fog,sed,3d,0.3,94.45576829875584
Strong (existing),fog,sed,3d,0.5,80.30148404335333
Strong (existing),fog,sed,3d,0.7,43.51804264010096
Strong (existing),fog,sed,bev,0.3,94.83924440755152
Strong (existing),fog,sed,bev,0.5,94.66788330776384
Strong (existing),fog,sed,bev,0.7,82.17234585430381
Strong (existing),fog,bus,3d,0.3,0.0
Strong (existing),fog,bus,3d,0.5,0.0
Strong (existing),fog,bus,3d,0.7,0.0
Strong (existing),fog,bus,bev,0.3,0.0
Strong (existing),fog,bus,bev,0.5,0.0
Strong (existing),fog,bus,bev,0.7,0.0
Strong (existing),day,sed,3d,0.3,76.74069078545422
Strong (existing),day,sed,3d,0.5,54.70953478879631
Strong (existing),day,sed,3d,0.7,12.468997048791609
Strong (existing),day,sed,bev,0.3,79.31169149599458
Strong (existing),day,sed,bev,0.5,73.64132644713531
Strong (existing),day,sed,bev,0.7,44.588677837914155
Strong (existing),day,bus,3d,0.3,53.673969965481994
Strong (existing),day,bus,3d,0.5,26.79560335804865
Strong (existing),day,bus,3d,0.7,4.621357705285217
Strong (existing),day,bus,bev,0.3,56.9836883566341
Strong (existing),day,bus,bev,0.5,41.82002169309907
Strong (existing),day,bus,bev,0.7,15.57784626999118
Strong (existing),night,sed,3d,0.3,70.27500089860274
Strong (existing),night,sed,3d,0.5,46.91352410055849
Strong (existing),night,sed,3d,0.7,12.17135722782504
Strong (existing),night,sed,bev,0.3,73.41996462215255
Strong (existing),night,sed,bev,0.5,66.46646617474936
Strong (existing),night,sed,bev,0.7,42.25791060345405
Strong (existing),night,bus,3d,0.3,63.82832800611643
Strong (existing),night,bus,3d,0.5,42.68707979456071
Strong (existing),night,bus,3d,0.7,18.197058700645066
Strong (existing),night,bus,bev,0.3,78.02941892414427
Strong (existing),night,bus,bev,0.5,62.27428188776638
Strong (existing),night,bus,bev,0.7,33.63925670895666
Strong (existing),urban,sed,3d,0.3,77.95155609097652
Strong (existing),urban,sed,3d,0.5,57.331730212966
Strong (existing),urban,sed,3d,0.7,14.85174631301916
Strong (existing),urban,sed,bev,0.3,80.78187123797323
Strong (existing),urban,sed,bev,0.5,74.48011538310396
Strong (existing),urban,sed,bev,0.7,50.39233290705776
Strong (existing),urban,bus,3d,0.3,85.183778926199
Strong (existing),urban,bus,3d,0.5,47.79981724533537
Strong (existing),urban,bus,3d,0.7,20.0178872625223
Strong (existing),urban,bus,bev,0.3,85.52094664106704
Strong (existing),urban,bus,bev,0.5,78.70894051091598
Strong (existing),urban,bus,bev,0.7,43.25812873040943
Strong (existing),highway,sed,3d,0.3,83.05806594123516
Strong (existing),highway,sed,3d,0.5,56.08302700810596
Strong (existing),highway,sed,3d,0.7,5.366135673590466
Strong (existing),highway,sed,bev,0.3,85.72716444405253
Strong (existing),highway,sed,bev,0.5,79.58352323138045
Strong (existing),highway,sed,bev,0.7,41.78732881732318
Strong (existing),highway,bus,3d,0.3,57.45208274374658
Strong (existing),highway,bus,3d,0.5,33.13213376954994
